kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap
Imigran Ilegal,,17/08/2015,03:40,108.16192,-5.04373,Laut Jawa,U-Sea Colonsay,Jarvis I.,Kpl Penyelamat/Lifeboat,116,IMO 12431,FXW91314,25623,Sandar,PT. Indonusa Putra Mandiri,Alarambe Dato Allorante,Labuhan Lombok,Reo,Gene Autry,Northern Mariana Is.,,,,D,1,Polri,Kpl Pengeruk/Dredger
Imigran Ilegal,,18/11/2017,18:25,109.49359,-4.17825,Laut Jawa,SS Runic,Ireland,Kpl Pemadam Kebakaran/Fireboat,201,IMO 15339,VRF212311,82529,Lego,PT. Artha Prima Global,Diskografi Cody,Pekalongan,Poopongan,Kusno Sudjarwadi,Sweden,,,,B,4,TNI AU,Kpl Selam
Imigran Ilegal,,22/03/2016,18:40,119.1462243,-6.69095194,Laut Flores,SS Ionic,Vanuatu,Kpl Pemerintah,140,IMO 82453,WLG101321,85845,Sandar,Game Master,Bae Yong Joon,Tanjung Beringin,Kangean,Amril Nurman,Palau,,,,D,2,TNI,Kargo/Barang
Imigran Ilegal,,03/04/2014,13:10,119.9280931,-7.81041642,Laut Flores,MV Gadila,Timor-Leste,Kpl Pemerintah,210,IMO 22345,EOZ1224,32126,Lego,PT. Makis Indonesia Utama,Febe Kusumastuti,Belang-Belang,Biringkasi,Vladimir Andreyevich Chernov,Jamaica,,,,F,6,TNI AL,Tug Boat/Kpl Tunda
Imigran Ilegal,,12/11/2014,07:30,121.8855151,2.38703478,Laut Sulawesi,Sitakund,Czech Republic,Kpl Kayu,112,IMO 96857,HDT192416,73469,Sandar,PT. Reycom Document Solusi,Sukma Perdana,Lahewa,Toli-toli,Oik Cahya,Cuba,,,,C,4,TNI AL,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,31/03/2014,02:05,116.527853,-7.87043888,Laut Flores,USS Ascella (AK-137),Myanmar,Speed Boat,151,IMO 99727,GWU19102,17774,Lego,PT. Gema Lintas Semesta,Jesse Eisenberg,Pulau Baai,Sirombu,Yati Octavia,Kazakhstan,,,,B,1,Bakamla,Penumpang
Imigran Ilegal,,13/12/2016,09:35,122.9787695,3.9615067,Laut Sulawesi,Exxon Valdez,French Southern & Antarctic Lands,Kpl Militer,121,IMO 76363,EKO111211,67538,Layar,PT. Indo Efti,Viktor Olegovich,Mangarang,Natal / Sikara-kara,Amanda Rigby,Uganda,,,,E,2,TNI AL,Penumpang
Imigran Ilegal,,27/02/2019,10:10,131.5850302,1.97561842,Laut Halmahera,Torrey Canyon,St. Vincent & the Grenadines,Survey/Kpl Survei,119,IMO 93943,FYY25149,76417,Sandar,PD. Maslahat,Mohammad Atho',Serwaru,Cilacap,Johann Ludwig Schwerin von Krosigk,Slovakia,,,,A,6,Polri,Kpl Derek/Crane
Imigran Ilegal,,31/05/2015,18:00,118.9122004,-7.07239173,Laut Flores,USS Arkab (AK-130),Malaysia,Kpl Nelayan,159,IMO 12631,NAI19220,56149,Layar,Agung Jaya,Rudi Widodo,Banda Naira,Melonguane,Hsu,Aruba,,,,A,4,Bakamla,Tanker
Imigran Ilegal,,06/04/2017,09:55,108.28986,-4.59153,Laut Jawa,USS Allegan (AK-225),Bhutan,Kpl Peti Kemas/Container,109,IMO 73491,ABF201615,24549,Lego,PT. Pandawa Mitra Perkasa,Rubn Gonzlez,Glimandangin,Banjarmasin,Pospch,Vietnam,,,,C,2,TNI AL,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,25/04/2018,12:00,106.62973,-5.9164,Laut Jawa,MV Harpa,Panama,Kpl Pemerintah,150,IMO 15961,IOL19102,74322,Sandar,PT. Nusantara Indoglobal Cargo,Hanadia,Panarukan,Pokai,Roman Heart,Lebanon,,,,D,6,Polri,Kpl Layar
Imigran Ilegal,,22/02/2015,10:50,128.4671055,-6.50854767,Laut Banda,Aranui 3,Canada,Kpl Selam,185,IMO 97838,UVD102514,99313,Layar,PT. Primajaya Abadi Logistik,Andy Carroll,Tikong,Torosik,Jeffry Yanuar,Portugal,,,,A,6,Bea Cukai,Kpl Layar
Imigran Ilegal,,07/05/2014,05:20,107.53521,-3.89135,Laut Jawa,MV Ascension,Botswana,Speed Boat,161,IMO 59981,CHU24812,82288,Layar,PT. Sarana Daya Semesta,Ernst Haeckel,Parlimbungan Ketek,Melonguane,Callea,South Korea,,,,D,2,TNI AU,Kpl Pesiar
Imigran Ilegal,,04/08/2019,17:30,122.8636894,3.06146548,Laut Sulawesi,Sitakund,Estonia,Speed Boat,172,IMO 15384,ODI151422,52295,Layar,PT. Global Artha Abadi,Jos Klberson,Batam/Batu Ampar,Ransiki,Levi-Montalcini,Pakistan,,,,E,3,KKP,Kpl Selam
Imigran Ilegal,,23/03/2014,22:30,136.6396221,1.21259173,Laut Halmahera,MV Empire MacMahon,Andorra,Penumpang,150,IMO 36273,ZIY242411,36696,Layar,Toko Obat Bandung,Jean Jacques Gosso,Waisarisa,Darume,Daud Dt.,Sudan,,,,B,5,Bakamla,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,15/07/2015,16:30,119.4324045,-6.79920795,Laut Flores,MSC Carmen,Hungary,Kpl Selam,249,IMO 28753,XHA262411,53161,Lego,PT. Astragraphia Xprins indonesia,Stepin,Tanjung Batu/Kotabaru,Belopa,Predrag orevi,Haiti,,,,B,3,TNI AL,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,27/09/2018,18:05,110.84979,-3.66519,Laut Jawa,CMA CGM Thalassa,Brunei,Kpl Penyelamat/Lifeboat,115,IMO 61854,JAJ111417,31649,Lego,PT. Biro Grata Mandiri,Nilmar,Wasior,Depapre,Stallbaum,Cayman Is.,,,,A,5,TNI AL,Kpl Peti Kemas/Container
Imigran Ilegal,,28/05/2014,12:40,130.4148549,-4.95147485,Laut Banda,MT Sidsel Knutsen,Ecuador,Kpl Layar,229,IMO 12572,FJJ181525,64375,Lego,PT. Uni Logistik Indonesia,Akhsarbek,Meulaboh,Tanjung Sidupa,Kubot,Western Sahara,,,,B,3,TNI,Speed Boat
Imigran Ilegal,,15/04/2019,23:50,138.3486486,-0.10844987,Laut Halmahera,Akebono Maru,Barbados,Tug Boat/Kpl Tunda,207,IMO 22345,DOW12154,41857,Layar,PT. Rekha Trans Utama,Zainuddin bin Maidin,tulehuu,Midai,Lapina,Slovenia,,,,C,6,TNI AD,Kargo/Barang
Imigran Ilegal,,28/12/2019,13:30,137.6067597,0.37628238,Laut Halmahera,MSC Pamela,Macedonia,Kpl Selam,174,IMO 48334,TVR11324,36943,Sandar,PT. Ekspres Sistem Indonesia,Adrian Maulana,Raha,Labuhan Maringgai,Artie Abrams,Dominica,,,,A,5,Polri,Kpl Selam
Imigran Ilegal,,16/01/2018,02:10,136.93274,1.98699025,Laut Halmahera,SS Cufic,Palau,Kpl Pemerintah,152,IMO 91392,CXF10214,86928,Sandar,Asuransi Jiwa Bumi Putra 1912,Maupassant,Sarmi,Teluk Leidong,Rustriningsih,Heard I. & McDonald Is.,,,,B,5,TNI AU,Kpl Ro-Ro
Imigran Ilegal,,22/01/2014,18:40,118.4258569,-6.78146545,Laut Flores,SS Nomadic,Slovakia,Tug Boat/Kpl Tunda,158,IMO 73833,NXQ15125,54663,Lego,PT. Kereta Api Logistik,Eriya Kategaya,Tabarfane,Torosik,Sorour,Syria,,,,E,3,KKP,Kpl Ikan
Imigran Ilegal,,09/05/2014,06:45,137.8249801,1.07411064,Laut Halmahera,SS Ionic,Chile,Kpl Layar,107,IMO 81926,LAA11622,72841,Layar,Hypnosis,Esswein,Banggai,Rembang,Palombo,United Arab Emirates,,,,E,5,TNI AU,Kpl Ro-Ro
Imigran Ilegal,,06/08/2018,05:25,120.0171434,3.03253321,Laut Sulawesi,USS Aludra (AK-72),Yemen,Supply Ship,191,IMO 18678,SET1573,37618,Sandar,PT. Bintang Jaya Trans,James Lovelock,Dabo Singkep,Depapre,Luluk Purwanto,Nicaragua,,,,E,1,Polri,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,12/04/2019,15:40,107.34519,-3.67404,Laut Jawa,"Houston Express, container ship for Hapag-Lloyd line",American Samoa,Kargo/Barang,174,IMO 36385,JFJ242324,84668,Lego,PT. Delta Anugerah Lestari Ekspres,John Davis,Pulau Owi,Tarakan,Henry James,Jamaica,,,,E,2,Bakamla,Kargo/Barang
Imigran Ilegal,,07/10/2016,10:05,108.69804,-3.51984,Laut Jawa,SS Delphic,Zambia,Survey/Kpl Survei,212,IMO 33992,OFG201310,79456,Sandar,PT. Ekspresku Internasional Logistik,Kwakman,Bunyu,Kereng Bengkirai,Wulan Guritno,Mauritania,,,,C,1,TNI,Kpl Nelayan
Imigran Ilegal,,02/01/2015,03:45,107.75985,-5.31726,Laut Jawa,Truelove,Nicaragua,Kargo/Barang,119,IMO 18955,KWS14196,21252,Lego,PT. Dharmasa Adi Sejahtera,Murray Walker,Fak-fak,Ranai,Martti Mansikka,Jan Mayen,,,,B,5,Bakamla,Supply Ship
Imigran Ilegal,,11/08/2016,06:40,128.6193905,-6.42935927,Laut Banda,SS Asiatic,Nauru,Kpl Pemerintah,199,IMO 91792,XXG102417,79157,Lego,PT. Delta Anugerah Lestari Ekspres,Marwan,P. Sapuka,Dawai,Damar Ramadan,Madagascar,,,,C,4,Bakamla,Kpl Pengebor/Drillship
Imigran Ilegal,,29/12/2016,00:35,124.2606891,2.78971816,Laut Sulawesi,Arnold Mærsk,Antarctica,Kpl Pesiar,159,IMO 42179,OTC4139,34988,Lego,PT. ACC Express,Krhin,Kuala Pembuang,Tobilota,Lisa del,Burundi,,,,D,6,Bakamla,Tongkang
Imigran Ilegal,,04/12/2014,06:50,133.6413752,1.34276966,Laut Halmahera,SS Medic,Spain,Kpl Militer,162,IMO 54246,MZF12524,26596,Lego,PT. Penta Prima Utama,Campos Salles,Fak-fak,Tual,Puerta,Turkey,,,,A,1,Bakamla,Kpl Selam
Imigran Ilegal,,08/09/2017,06:50,107.00459,-6.05429,Laut Jawa,SS Bovic,Fiji,Kpl Kayu,151,IMO 74414,PFU252524,22932,Lego,PT. Direga Rayakonsult,Kamil Khasanov,Pangandaran,Teluk Melano/Teluk Batang,Vitaliy Mandzyuk,Belgium,,,,B,4,Polri,Speed Boat
Imigran Ilegal,,31/03/2016,06:40,125.4061454,-5.07019109,Laut Banda,SS Afric,Liechtenstein,Kpl Ikan,109,IMO 23689,PNZ21228,12856,Sandar,PT. Sinar Usaha Cemerlang,Boris Tadic,Menui,Pulau Seluan,Michishige,Aruba,,,,B,1,TNI AL,Kpl Pengebor/Drillship
Imigran Ilegal,,10/01/2015,07:35,121.4766369,2.46259548,Laut Sulawesi,Arnold Mærsk,Northern Mariana Is.,Kargo/Barang,183,IMO 68413,RLL111116,91667,Layar,PT. Sky Light Multitrada,Saleh Afiff,Dompak,Sungsang,Ne Yo,Nicaragua,,,,D,4,TNI,Survey/Kpl Survei
Imigran Ilegal,,13/08/2017,21:25,134.7424858,1.26343429,Laut Halmahera,Aranui 3,Chile,Kpl Penyelamat/Lifeboat,182,IMO 93477,KLQ566,84275,Layar,Hindra Motor,Oh Jae Moo,Benjina,Dapalan,Soegondo,Iraq,,,,F,6,TNI AL,Kpl Layar
