kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Pelanggaran Batas,,09/09/2015,21:00,110.80958,-4.03606,Laut Jawa,MV Cristina A,Barbados,Kpl Pengebor/Drillship,212,IMO 72877,OLO221311,99888,Layar,PT. Indoexpress Logistics,Vyacheslavovich Smirnov,Kairatu,Saparua/Haria,Auguste Ambroise Tardieu,Puerto Rico,,,,F,3,TNI,Kpl Pengebor/Drillship,
Pelanggaran Batas,,26/11/2016,19:10,117.8706845,-7.17242859,Laut Flores,Osaka Express,Falkland Is.,Kpl Militer,215,IMO 95727,GCD2188,67818,Lego,PT. Sinar Anugerah Eka,Zarith,Tapaktuan,Subi,Mauricio Isla,Afghanistan,,,,B,4,Bea Cukai,Kpl Peti Kemas/Container,
Pelanggaran Batas,,04/12/2019,21:50,135.1759471,0.02304787,Laut Halmahera,MT Haven,Laos,Kpl Derek/Crane,236,IMO 14782,DHP242424,31799,Sandar,PT. Lingga Pos Kirimcepat,Georges Andr Chevallaz,Lampia,Kertapati,Ryberg,Albania,,,,A,5,Polri,Speed Boat,
Pelanggaran Batas,,23/10/2014,16:25,123.5577145,4.09256019,Laut Sulawesi,SS Belgic ||||,Cote d'Ivoire,Kpl Pesiar,233,IMO 85919,TMW22523,63122,Sandar,PD. Guma Karya,Emmerson Boyce,Dobo,Singkawang,Juan Carlos,Mexico,,,,F,2,Polri,Kpl Pesiar,
Pelanggaran Batas,,21/03/2016,13:40,119.226188,-6.92804535,Laut Flores,USS Appanoose (AK-226),Bhutan,Tongkang,126,IMO 84212,AUO12611,67469,Lego,PT. Kargo Dua Empat,Zivanna,Kasipute,Fogi,Beye,Papua New Guinea,,,,B,5,TNI AU,Tongkang,
Pelanggaran Batas,,16/06/2017,23:45,110.46676,-4.59106,Laut Jawa,SS Afric,American Samoa,Kpl Ikan,139,IMO 69466,YVT61314,66933,Lego,PT. Xpresindo Courier,Hooi,Pulau Laut,Sungai Lumpur,Gitty Srinita,French Southern & Antarctic Lands,,,,A,6,TNI,Kpl Pemerintah,
Pelanggaran Batas,,30/01/2018,02:35,133.3136993,-0.09197958,Laut Halmahera,USS Alderamin (AK-116),Belarus,Penumpang,143,IMO 99924,UQJ17810,45557,Sandar,PT. Mediacom TV,Medojevi,Hila/Romang,Sibolga,Andrs Iniesta Lujn,Grenada,,,,F,5,TNI AL,Penumpang,
Pelanggaran Batas,,17/10/2014,16:05,108.62287,-3.98434,Laut Jawa,Salem,Turkmenistan,Kpl Peti Kemas/Container,222,IMO 39131,SMO92315,84382,Sandar,Toko Lili,Blazej Augustyn,Karimun Jawa,Biaro,Sam Hinds,Saudi Arabia,,,,D,3,KKP,Kpl Selam,
Pelanggaran Batas,,24/10/2018,05:05,132.0669398,2.22816687,Laut Halmahera,MV Tampa,North Korea,Kpl Ro-Ro,210,IMO 39886,LCW61617,45126,Lego,King Garden,John Guidetti,Labuhan Lombok,Salakan,Alex Rodrigo Dias da Costa,St. Pierre & Miquelon,,,,F,1,KKP,Penumpang,
Pelanggaran Batas,,08/12/2016,03:05,109.96062,-5.49982,Laut Jawa,"Edith Mærsk, container ship for Maersk Line",Honduras,Tanker,106,IMO 38813,NNQ201121,27717,Layar,PT. Benua Expressindo Utama,Aleisha,Jinato,Anggrek,Stephanie Szostak,Congo,,,,D,5,TNI AL,Speed Boat,
Pelanggaran Batas,,26/02/2014,09:55,118.0637432,-6.54675595,Laut Flores,Hudson Cavalier,Kuwait,Penumpang,206,IMO 23669,RWO1764,19328,Sandar,PT. Sinar Parahyangan Abadi,Kurinov,Pasokan,Eray,Atmowiloto,Laos,,,,E,6,Polri,Kpl Penyelamat/Lifeboat,
Pelanggaran Batas,,13/06/2019,07:10,131.2927857,0.39824266,Laut Halmahera,Olga Mærsk (1948),Panama,Kpl Militer,100,IMO 51796,ODT102515,52727,Lego,PT. Satria Antaran Prima,Kamasean,Tanjung Satai,Boipinang,Edwin Powell Hubble,Bahrain,,,,A,3,TNI,Kpl Layar,
