kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Pelanggaran Peraturan Pelayaran,,25/03/2015,09:20,108.59875,-5.45383,Laut Jawa,U-Sea Colonsay,Sweden,Kpl Kayu,233,IMO 11372,XNH211725,56244,Lego,Berdikari,Rohyati,Barus,Saketa,Bethany Hamilton,New Zealand,,,,C,1,Bea Cukai,Kpl Pemadam Kebakaran/Fireboat,
Pelanggaran Peraturan Pelayaran,,10/03/2014,19:35,119.2258884,-7.75613434,Laut Flores,SS Gallic,Kazakhstan,Kpl Selam,166,IMO 86931,JHG62520,71277,Sandar,PT. Biro Grata Mandiri,Taylor Coleridge,Tanjung Tiram/Batubara,Kuala Mendahara,Nobuo,Italy,,,,B,1,TNI,Kpl Ikan,
Pelanggaran Peraturan Pelayaran,,15/10/2019,14:45,108.46091,-3.53018,Laut Jawa,MSC Geneva,Liberia,Kpl Kayu,167,IMO 48662,OBV24425,21197,Lego,Game Master,Frank Lloyd,Bawean,Pangkalan Susu,Paul Ehmann,South Georgia & the South Sandwich Is.,,,,C,2,Bakamla,Bulker/Kpl Pengangkut Barang Curah,
Pelanggaran Peraturan Pelayaran,,03/02/2018,05:00,119.97589,3.52960267,Laut Sulawesi,USS Alkes (AK-110),Sri Lanka,Kpl Militer,247,IMO 77769,ITT18711,49587,Layar,PT. Aix Indologis Exspress,Asrul,Watunohu,P. Sapuka,Chris Evans,Montenegro,,,,C,2,Bakamla,Bulker/Kpl Pengangkut Barang Curah,
Pelanggaran Peraturan Pelayaran,,19/07/2014,20:45,127.3511276,-5.18980773,Laut Banda,Olga Mærsk (1948),Tuvalu,Kpl Selam,244,IMO 68233,VNI1222,71277,Lego,PT. Nusantara Indoglobal Cargo,Mariko Shinoda,Depapre,Kalianda,Adolphe,Lebanon,,,,F,3,Bea Cukai,Kpl Militer,
Pelanggaran Peraturan Pelayaran,,28/06/2019,04:40,121.9061202,3.83020081,Laut Sulawesi,MV Monchegorsk,Estonia,Kpl Penyelamat/Lifeboat,213,IMO 98345,ROA4203,23256,Layar,PT. Win Semesta Ekspress,Prima Rahmanto,Kempo,Awerange/Barru,Riyale,Syria,,,,A,2,TNI AU,Kpl Selam,
Pelanggaran Peraturan Pelayaran,,31/05/2017,05:10,126.4891675,-5.30715232,Laut Banda,USS Ascella (AK-137),Georgia,Kpl Pemadam Kebakaran/Fireboat,202,IMO 36842,AOV2224,72686,Layar,PT. Aditama Karya Abadi,Cyndi Wang,Batu Panjang,Manipa,John Anthony Pople,Sao Tome & Principe,,,,F,1,TNI AD,Penumpang,
Pelanggaran Peraturan Pelayaran,,29/11/2015,18:15,122.2772541,2.95048371,Laut Sulawesi,Salem,Lithuania,Kpl Pemerintah,208,IMO 44853,TGZ13135,17298,Sandar,PT. Cipta Dirgantara Pukadara,Bolkiah,Kalbut,Binongko,Th Kim Phc,Japan,,,,D,5,TNI AL,Speed Boat,
Pelanggaran Peraturan Pelayaran,,05/02/2015,20:20,108.71546,-5.54811,Laut Jawa,Torrey Canyon,Lesotho,Supply Ship,213,IMO 38813,OPH10214,67967,Sandar,PT. Kharisma Tekad Karya,Novia Kolopaking,Kertapati,Buano,Ratu Munjeong,Pakistan,,,,D,3,Bea Cukai,Kpl Pengeruk/Dredger,
Pelanggaran Peraturan Pelayaran,,18/05/2019,11:50,128.0716416,-6.22918727,Laut Banda,MV Craigantlet,Botswana,Kpl Ro-Ro,112,IMO 37428,UEY7207,25211,Lego,PT. Elnusa Petrofin,Rumer Willis,Terong/Waiwerang,Mangoli,Susie Castillo,New Caledonia,,,,B,5,TNI AU,Kargo/Barang,
Pelanggaran Peraturan Pelayaran,,31/05/2015,19:10,125.9861965,-5.89859416,Laut Banda,SS Medic,Cote d'Ivoire,Kpl Penyelamat/Lifeboat,241,IMO 58179,NDR1393,85934,Lego,Asuransi Jiwa Bumi Putra 1912,Hollande,Siuban,Tanjung Api-Api,Shchigolev,French Polynesia,,,,C,6,Polri,Kargo/Barang,
Pelanggaran Peraturan Pelayaran,,27/03/2017,05:05,126.5426405,-4.87796087,Laut Banda,MS Antenor,Heard I. & McDonald Is.,Kpl Ro-Ro,168,IMO 63854,VDQ41911,29722,Sandar,PT. Petrindo Nusa Persada,Christian Wetklo,Inawatan,Kawaluso,John Ernst,Kenya,,,,B,6,Bea Cukai,Kpl Layar,
Pelanggaran Peraturan Pelayaran,,05/10/2018,19:00,121.0587745,4.33495804,Laut Sulawesi,MV Resolution Bay,Western Sahara,Kpl Pesiar,197,IMO 92198,GTL1142,34631,Sandar,PD. Intan Mitra Sejati,Choi Dong,Teluk Palu,Dorosagu,Teuku Muhammad,Brunei,,,,D,6,Polri,Penumpang,
Pelanggaran Peraturan Pelayaran,,16/02/2015,01:00,134.5418714,2.23187489,Laut Halmahera,MSC Carouge,Syria,Tongkang,162,IMO 35247,QVQ15619,43232,Lego,PT. Fama Persada,Samir Ujkani,Kokas,Marabombang,Sekiguchi,Brazil,,,,A,2,TNI AD,Kpl Penyelamat/Lifeboat,
