kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Pembalakan Liar,,04/07/2016,05:50,122.5559826,2.37402423,Laut Sulawesi,Maritime Jewel,Lesotho,Kpl Pengeruk/Dredger,240,IMO 89556,KIY251419,66449,Sandar,PT. Benua Expressindo Utama,Stevenson,Siuban,Pasokan,Henry Wadsworth Longfellow,Western Sahara,,,,C,3,TNI AL,Kpl Pengeruk/Dredger,
Pembalakan Liar,,19/05/2016,21:30,116.8524364,-7.00399938,Laut Flores,Savannah Express,Montserrat,Kargo/Barang,200,IMO 89581,LZD20522,98661,Layar,PT. Chaya Hantaran Nusantara,Silveira,Tanjung Priok,Marunda,Michael E.,Tajikistan,,,,D,5,Bakamla,Tongkang,
Pembalakan Liar,,12/09/2019,09:10,119.714101,3.69793392,Laut Sulawesi,MV Stolt Strength,Kiribati,Kpl Pemerintah,109,IMO 65352,LTX2535,58673,Sandar,PT. Jabeny Logistics,Arkadiusz,Matui,Darume,Klinkert,Pitcairn Is.,,,,B,2,TNI AU,Kpl Selam,
Pembalakan Liar,,21/07/2019,13:00,135.6418719,1.31209169,Laut Halmahera,MSC Carmen,Cook Is.,Supply Ship,105,IMO 34945,MQC51721,24964,Sandar,PT. Mekar Lintas Nusa,Ahmed Hassan al-Bakr,Banten/Cigading,Manipa,Asha Shara,India,,,,E,4,Bakamla,Survey/Kpl Survei,
Pembalakan Liar,,21/02/2015,07:20,124.1567724,2.18817939,Laut Sulawesi,"Onaiza, LNG Tanker",Myanmar,Kpl Layar,108,IMO 71152,BNT22523,35397,Sandar,PT. Bahtera Dunia Pratama,Eduard Oriol,Popolii,Mesuji/Lampung,Marissa Nasution,Rwanda,,,,E,3,TNI,Bulker/Kpl Pengangkut Barang Curah,
Pembalakan Liar,,01/10/2016,16:20,125.8660202,-6.28828917,Laut Banda,SS Cufic,Netherlands,Kpl Nelayan,235,IMO 97857,PBF241410,17531,Layar,PT. Api Biru Nusantara,Palfrey Webb,Kalama,Lahewa,Jodi Firmansyah,Ukraine,,,,B,1,Bea Cukai,Kargo/Barang,
Pembalakan Liar,,20/02/2015,07:50,118.1477272,-7.34460352,Laut Flores,MV Ranga,Ghana,Kpl Ikan,105,IMO 16973,LRJ26208,95614,Lego,PT. Ekspresku Internasional Logistik,Anah,Rainis,Dompak,Sampirisi,Laos,,,,F,5,Bakamla,Kpl Pemadam Kebakaran/Fireboat,
Pembalakan Liar,,26/09/2014,13:35,121.1533788,2.08954254,Laut Sulawesi,Biruinta,Jordan,Kpl Ro-Ro,209,IMO 65627,JKC5259,96583,Layar,PT. Belt Logistik Indonesia,Geisel,Juwana,Satui/Batu licin,Agil Husin Al Munawar,Argentina,,,,A,2,KKP,Kpl Penyelamat/Lifeboat,
Pembalakan Liar,,24/06/2014,05:00,121.6277582,2.80420071,Laut Sulawesi,USS Alderamin (AK-116),Ethiopia,Kpl Pesiar,245,IMO 52374,TQR19204,65922,Layar,PT. Penta Prima Utama,Claude Duvalier,Samuda,Karatung,Asyurbanipal,Lebanon,,,,E,1,TNI AU,Kpl Derek/Crane,
Pembalakan Liar,,04/07/2019,12:40,134.1805,0.03057787,Laut Halmahera,"Emma Mærsk, container ship for Maersk Line",Estonia,Kpl Penyelamat/Lifeboat,134,IMO 15243,SQB1157,78669,Sandar,PT. Paramas Permata,Mendieta,Lapuko,Marore,Philip Pullman,Uganda,,,,F,1,TNI,Kpl Peti Kemas/Container,
Pembalakan Liar,,15/02/2019,05:25,129.8310922,2.36502367,Laut Halmahera,MSC Nuria,Heard I. & McDonald Is.,Kpl Militer,117,IMO 54723,XKA467,72562,Lego,PT. Abiyah Pratama,Mouly Surya,lamakera,Ngalipaeng,Sulley Ali Muntari,Norway,,,,A,1,TNI AL,Kargo/Barang,
Pembalakan Liar,,02/10/2018,22:20,120.3826691,4.08264371,Laut Sulawesi,"Gudrun Mærsk, container ship for Maersk Line",Kiribati,Bulker/Kpl Pengangkut Barang Curah,182,IMO 95288,CSV252125,28346,Lego,PT. Titipan Varaz Ekspres,Konstantin Chernenko,Jailolo,Parigi,Sylvain Distin,Tunisia,,,,C,6,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Pembalakan Liar,,04/09/2015,20:45,129.7169665,0.76111248,Laut Halmahera,MSC Monterey,Aruba,Survey/Kpl Survei,245,IMO 26164,WML24616,13862,Sandar,PT. Satu Sumber Sarana,Cawthorne,Tanjung Buton,Fak-fak,Jos Carlos,Haiti,,,,F,5,Polri,Kpl Pesiar,
Pembalakan Liar,,24/01/2019,03:40,133.8239708,0.17814039,Laut Halmahera,USS Sherman,Estonia,Kpl Ikan,148,IMO 31348,ZNR212224,98768,Layar,PT. Bintang Jaya Trans,Ral Rodrguez,Gunung Sitoli,Kawio,D. M. Jayaratne,Christmas I.,,,,F,1,TNI AD,Kpl Militer,
Pembalakan Liar,,24/01/2018,07:25,132.4832675,1.22220011,Laut Halmahera,CMA CGM Medea,Cape Verde,Tanker,190,IMO 81218,FLG1371,71137,Lego,PT. Srna Indonesia,Peter Caruana,Dorosagu,Saketa,Farida Arriany,San Marino,,,,A,2,Bakamla,Kpl Penyelamat/Lifeboat,
Pembalakan Liar,,13/09/2014,04:45,119.6734698,2.79245674,Laut Sulawesi,"Edith Mærsk, container ship for Maersk Line",Equatorial Guinea,Kargo/Barang,131,IMO 61617,KSW5227,96178,Layar,PT. Absy Cipta Mandiri,Soemitro,Panjang,Mataritip,Stefanny,Falkland Is.,,,,C,1,Polri,Kpl Penyelamat/Lifeboat,
Pembalakan Liar,,18/12/2017,23:15,111.53493,-4.65621,Laut Jawa,SS Arthur M. Anderson,New Zealand,Kpl Nelayan,216,IMO 99738,LSE16199,92318,Layar,PT. Royal Express Indonesia,Denison,Ampenan,Dabo Singkep,Ledley King,Syria,,,,D,3,TNI AL,Tanker,
Pembalakan Liar,,18/03/2019,01:25,133.6410127,0.98374368,Laut Halmahera,COSCO Guangzhou,Faroe Is.,Kpl Pemadam Kebakaran/Fireboat,188,IMO 53759,VNT1588,63571,Layar,"PT. Wicaksana Overseas International, Tbk",Bednarek,Gorom,Saketa,Ali Agca,Cyprus,,,,B,5,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Pembalakan Liar,,30/05/2014,05:45,123.3808487,2.33636594,Laut Sulawesi,MOL Enterprise,Benin,Tongkang,139,IMO 51656,MIQ41225,86571,Lego,Toko Lili,Nik Abdul Aziz Nik Mat,Labuhan Haji,Tanjung Uban / Teluk Sasah,Marchese,Netherlands,,,,B,1,TNI,Supply Ship,
Pembalakan Liar,,11/03/2015,21:45,121.0264373,3.07844245,Laut Sulawesi,MSC Carouge,Kuwait,Survey/Kpl Survei,176,IMO 72728,RYS3310,56644,Layar,CV. Adhikarya Pratama,la Ra,Pare-Pare,Dabo Singkep,nderson,Jan Mayen,,,,F,1,KKP,Kpl Pemadam Kebakaran/Fireboat,
Pembalakan Liar,,04/08/2019,09:25,126.2495878,-5.93349456,Laut Banda,Truelove,Suriname,Kpl Peti Kemas/Container,222,IMO 51915,NIJ211115,17878,Layar,PT. Mitra Jasa Perkasa,Karjo AC-DC,Pasuruan,Toboali,Tomeing,Macedonia,,,,C,6,TNI AU,Speed Boat,
Pembalakan Liar,,12/07/2016,08:30,124.2914885,2.39904073,Laut Sulawesi,SS Bovic,Cyprus,Kpl Ro-Ro,165,IMO 88278,LSZ1061,66123,Sandar,PT. Makis Indonesia Utama,Dewi Lestari,Cilacap,Gorom,Eduardo Duhalde,Iceland,,,,C,2,TNI,Penumpang,
Pembalakan Liar,,09/11/2014,14:55,134.0028768,-0.16884881,Laut Halmahera,COSCO Guangzhou,Togo,Kpl Militer,192,IMO 65657,USR17119,28177,Layar,PT. Wira Andalan Sukses,Pitt yang Muda,Lembar,Tanjung Sarang Elang,Larrivey,St. Vincent & the Grenadines,,,,A,6,TNI,Kpl Pesiar,
Pembalakan Liar,,19/04/2015,16:30,123.922362,2.3143059,Laut Sulawesi,SS Atlantic Conveyor,India,Bulker/Kpl Pengangkut Barang Curah,171,IMO 55555,UFX4136,91976,Layar,PD. Elang Jaya,Hebe dan Zinnia Barnes,Nunukan/Tunon Taka,Pulau Salura,Amelia Pradipta,Latvia,,,,A,2,TNI AL,Kpl Selam,
Pembalakan Liar,,22/12/2017,20:45,121.378432,2.94735975,Laut Sulawesi,USS Alkes (AK-110),Ethiopia,Kpl Militer,223,IMO 34934,NCC251116,42697,Sandar,PT. Alfindo Trans Courier,Natasha St,Bemo,Waworada,Sophie Navita,Cape Verde,,,,B,4,TNI,Kpl Derek/Crane,
Pembalakan Liar,,17/05/2017,02:00,111.44489,-4.08552,Laut Jawa,MV Monchegorsk,Kiribati,Kpl Kayu,171,IMO 95135,CND16325,18797,Layar,PT. Gema Lintas Semesta,Kunizhev,Atsy,Kupang,Manuel Flores,Greenland,,,,C,3,TNI,Kpl Kayu,
Pembalakan Liar,,15/02/2017,12:50,123.0075404,4.11148562,Laut Sulawesi,MV Ranga,Marshall Is.,Kpl Pengeruk/Dredger,243,IMO 28372,PQX15175,26563,Lego,PT. Sayap Biru Ekspres,George Arliss,amahaii,Kalianda,D. Zawawi Imron,Jan Mayen,,,,F,6,Bea Cukai,Kpl Pesiar,
Pembalakan Liar,,09/10/2019,07:40,126.8942847,-4.86212311,Laut Banda,MV Harpa,Egypt,Kpl Kayu,200,IMO 68576,IZA16202,13243,Sandar,PT. Ayucitra Mandiri,Filip Kosti,Ransiki,amahaii,Stewart Copeland,Grenada,,,,D,6,Bakamla,Kpl Ro-Ro,
Pembalakan Liar,,02/04/2015,19:50,125.0862928,-5.6335507,Laut Banda,MV Vikartindur,St. Vincent & the Grenadines,Penumpang,205,IMO 49345,AAG1249,99316,Layar,PT. Benua Expressindo Utama,Jason Patric,Pangandaran,Buhias,Rodolfo Pires Ribeiro,Liechtenstein,,,,A,5,TNI AD,Kpl Kayu,
Pembalakan Liar,,20/07/2018,02:45,119.3729478,-6.87156586,Laut Flores,SS Desabla,Luxembourg,Kargo/Barang,245,IMO 63326,SCB141126,91791,Lego,PT. Indoexpress Logistics,Al Hadi,Sukadana,Nabire,James II,Luxembourg,,,,A,2,Polri,Bulker/Kpl Pengangkut Barang Curah,
Pembalakan Liar,,03/05/2017,15:20,108.91758,-4.34456,Laut Jawa,NYK Vega,Vietnam,Survey/Kpl Survei,105,IMO 32387,UUO21179,72919,Lego,Kharisma Abadi,Rizal Nurdin,Pasuruan,Tanjung Perak,Jonie,Mozambique,,,,C,2,TNI AU,Kpl Layar,
