kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Penambangan Ilegal,Pasir,15/08/2017,21:35,109.22139,-5.70451,Laut Jawa,USS Alkes (AK-110),Dominica,Bulker/Kpl Pengangkut Barang Curah,219,IMO 79782,NYT22202,42325,Layar,PT. Top Express International,Hartnett,Una-Una,Sadai,Monzn,Chad,,,,A,1,TNI AD,Tongkang,
Penambangan Ilegal,Timah,06/04/2019,15:20,122.6717781,3.38578675,Laut Sulawesi,SS Delphic,St. Pierre & Miquelon,Bulker/Kpl Pengangkut Barang Curah,157,IMO 19136,RAY6208,36417,Layar,PT. Nirwana Indah Cemerlang,Lita Zein,Sadai,Molawe,Hilton Moreira,Montserrat,,,,F,3,TNI AL,Bulker/Kpl Pengangkut Barang Curah,
Penambangan Ilegal,Pasir,22/01/2016,08:35,124.0071027,3.93748175,Laut Sulawesi,MT Sidsel Knutsen,Guyana,Tongkang,148,IMO 41174,DNM41610,45462,Lego,"PT. Wicaksana Overseas International, Tbk",Frank Bainimarama,Boipinang,Seba,Mackenbach,Malawi,,,,F,2,TNI AU,Tug Boat/Kpl Tunda,
Penambangan Ilegal,Bauksit,11/02/2016,22:15,111.01349,-5.64149,Laut Jawa,"Maharshi Bhardwaj, LPG Tanker*Mesaimeer, LNG Tanker",Andorra,Kpl Pemerintah,184,IMO 32143,ROS71010,98348,Layar,PT. Jaya Mitra Makmur,Trokhov,Menanga,Namlea,Salva Kiir,Thailand,,,,A,5,Polri,Bulker/Kpl Pengangkut Barang Curah,
Penambangan Ilegal,Biji Besi,19/11/2015,00:55,117.6132829,-7.47278855,Laut Flores,MV Capt. Steven L. Bennett (T-AK-4296),Chile,Kpl Selam,124,IMO 72269,USE21620,13657,Sandar,PD. Intan Mitra Sejati,ar-Ruba'i,Kaledupa,Nunbaun Sabu (Namosain),Albertini,Anguilla,,,,B,5,Bea Cukai,Kpl Nelayan,
Penambangan Ilegal,Timah,07/01/2019,02:55,137.5001727,1.91683485,Laut Halmahera,MSC Nuria,Ireland,Kpl Selam,160,IMO 17429,SJE102224,29275,Lego,Asuransi Jiwa Bumi Putra 1912,Nikkari,Malarko,Kuala Semboja/Sebulu,Bruggink,Gaza Strip,,,,A,5,TNI,Supply Ship,
Penambangan Ilegal,Pasir,09/10/2018,02:35,122.9363737,3.41929866,Laut Sulawesi,MV Monchegorsk,St. Vincent & the Grenadines,Tongkang,107,IMO 42421,TBC192014,85348,Sandar,Standard Chartered Bank,Bautista,Komodo,Gilimanuk,Joachim Dausset,Burkina Faso,,,,D,5,TNI AD,Tanker,
Penambangan Ilegal,Batu Bara,27/03/2018,23:50,130.1189413,0.45672421,Laut Halmahera,MS Star Clipper,Cameroon,Kpl Pengeruk/Dredger,161,IMO 68354,ALC242324,17417,Sandar,PT. Bintang Sembilan Media Televisi,Ayu Ting Ting,Pulau Tabuan,Tua Pejat,Sleyman Demirel,Antigua & Barbuda,,,,F,4,Bakamla,Kpl Layar,
Penambangan Ilegal,Bauksit,04/03/2015,11:20,116.6229557,-7.55306293,Laut Flores,SS Bessemer Victory,Vietnam,Kpl Militer,158,IMO 99528,EJJ5114,41891,Sandar,"Koperasi Pegawai PT. Indosat, Tbk",Deniss,Liana Banggai,Kendawangan,Steven Fletcher,Qatar,,,,C,6,Bakamla,Kpl Layar,
Penambangan Ilegal,Timah,01/06/2019,08:15,135.3439665,0.97705118,Laut Halmahera,SS Runic ||,Angola,Tug Boat/Kpl Tunda,142,IMO 22374,KZE15722,13171,Sandar,PT. Nafastindo Trans Logistik,Mahamadou Djeri Maga,Dorosagu,Sawang,George McGovern,American Samoa,,,,B,1,Bakamla,Penumpang,
Penambangan Ilegal,Bauksit,20/07/2018,08:05,110.37621,-5.38544,Laut Jawa,USS Aludra (AK-72),Cote d'Ivoire,Kpl Selam,171,IMO 88845,DMG14924,22495,Lego,PT. Waskita Elang Perkasa,Nurdin Halid,Pulau Kampai,Manggar,Andi Ariel,Estonia,,,,C,4,TNI AU,Kpl Ikan,
Penambangan Ilegal,Timah,17/04/2019,03:55,109.67084,-5.08086,Laut Jawa,SS Bardic,Libya,Tongkang,247,IMO 67812,ULB16122,51778,Lego,PT. Satria Antaran Prima,Dhea Ananda,Balikpapan,Matasiri,Kim Yong Hee,Djibouti,,,,A,3,Bea Cukai,Tug Boat/Kpl Tunda,
Penambangan Ilegal,Bauksit,28/08/2017,14:40,118.3419301,-6.66718327,Laut Flores,MV Avenue Star,New Zealand,Kpl Peti Kemas/Container,174,IMO 32717,OWG12110,65326,Lego,PT. Bermuda Mandiri Brilian,W. H.,Gudang Arang,Falabisahaya,Jovovich,Sao Tome & Principe,,,,F,5,TNI AD,Kpl Ro-Ro,
Penambangan Ilegal,Batu Bara,08/11/2016,02:20,127.3102843,-4.96083422,Laut Banda,USS Sherman,Burkina Faso,Kpl Selam,210,IMO 48573,XXG102417,78917,Lego,PT. Bee Bersama Kargo,Lee Sun-gyun,Leti,Cilacap,Sulun,Yemen,,,,B,1,KKP,Tanker,
Penambangan Ilegal,Biji Besi,14/04/2015,03:45,126.9675907,-4.51403317,Laut Banda,MV Acavus,Micronesia,Kpl Kayu,175,IMO 41276,CFJ25204,65878,Sandar,PD. Talindo,David Brown,Poopongan,Banggai,Itamar,Reunion,,,,F,3,TNI,Kpl Pemerintah,
Penambangan Ilegal,Bauksit,04/04/2019,22:35,126.4203273,-6.22972543,Laut Banda,USS Aludra (AK-72),Egypt,Tanker,243,IMO 92249,XBO16922,51368,Lego,PT. Ekspresku Internasional Logistik,Danappa,Manipa,Air Buaya,Abigail Adams,Bangladesh,,,,A,6,TNI,Kpl Ro-Ro,
Penambangan Ilegal,Biji Besi,13/08/2015,00:45,129.8399937,-6.29107837,Laut Banda,COSCO Guangzhou,Niger,Tug Boat/Kpl Tunda,249,IMO 75748,WRL41914,51586,Lego,Bp.Karya Mandiri,Museng,Anyer Lor,Pulau Tabuan,Santos Souza,Anguilla,,,,C,6,TNI,Kpl Militer,
Penambangan Ilegal,Biji Besi,09/08/2015,07:20,121.2698896,2.01899848,Laut Sulawesi,SS Cufic,Fiji,Tongkang,119,IMO 25319,MHV6824,29964,Sandar,PT. Catur Ekapurcanga Indah,Jairon Feliciano Damsio,Bula,Gorom,Christian Worabay,Tanzania,,,,C,4,TNI AU,Kpl Pesiar,
Penambangan Ilegal,Biji Besi,14/05/2017,06:15,107.71583,-5.62266,Laut Jawa,SS Desabla,Nigeria,Tanker,132,IMO 18215,XHG261718,47424,Layar,PT. Gilsum Jasa Semesta,Yudha,P. Sailus,Dompak,Celestino,Somalia,,,,A,6,Bea Cukai,Tongkang,
Penambangan Ilegal,Batu Bara,05/08/2017,01:45,132.3036282,0.77432633,Laut Halmahera,MV Mairangi Bay,Netherlands,Kpl Derek/Crane,226,IMO 81133,QVV25154,46993,Sandar,PT. Xpresindo Courier,Moi Dix Mois,Kuala Jelay,Sukadana,Abdul Muis,Australia,,,,D,1,Bakamla,Kargo/Barang,
Penambangan Ilegal,Pasir,27/05/2018,17:20,122.0340221,3.80903788,Laut Sulawesi,MV Harpa,Bosnia & Herzegovina,Kpl Ro-Ro,204,IMO 87994,HYI25201,28433,Layar,PT. Chaya Hantaran Nusantara,Mendez Laing,Maumere /Laurentius Say,Teluk Leidong,Dingiri,South Georgia & the South Sandwich Is.,,,,A,4,KKP,Tug Boat/Kpl Tunda,
Penambangan Ilegal,Biji Besi,27/06/2014,19:45,133.9079748,0.87175027,Laut Halmahera,SS Atlantic Causeway,Bermuda,Kpl Selam,180,IMO 54656,XPQ262024,94987,Sandar,CV. Graha Multi Sarana,Marco Perrotta,Amamapare,Bulukumba/Lappe'e,Taguchi,Maldives,,,,A,5,Polri,Kpl Militer,
Penambangan Ilegal,Bauksit,23/03/2018,17:50,130.3511152,-5.70928035,Laut Banda,MV Macoma,Armenia,Kpl Pesiar,202,IMO 25287,QSU19314,49361,Sandar,Perusahaan Umum (Perum) Damri,Lucas Daniel,Gita Payahe,Essang,Archibald Joseph Cronin,Virgin Is.,,,,A,1,Polri,Penumpang,
Penambangan Ilegal,Timah,24/12/2016,16:15,125.9522999,-6.08143908,Laut Banda,NYK Vega,Eritrea,Tug Boat/Kpl Tunda,187,IMO 68481,RWO1764,58716,Sandar,PT. Belt Logistik Indonesia,Slavo Drozd,Langara,Gilimanuk,Yuanita Christiani,French Polynesia,,,,E,2,TNI,Kpl Peti Kemas/Container,
Penambangan Ilegal,Bauksit,21/05/2016,16:40,130.1084093,-6.68026798,Laut Banda,Altmark,Ghana,Speed Boat,148,IMO 33741,UNS21219,42739,Lego,Asuransi Jiwa Bumi Putra 1912,Pereira Gomes,Hatu Piru,Sukabangun Ketapang,Jean Tigana,St. Lucia,,,,D,5,Bea Cukai,Kpl Pemerintah,
Penambangan Ilegal,Biji Besi,04/05/2017,05:10,107.43597,-4.48899,Laut Jawa,MV Mairangi Bay,North Korea,Kpl Derek/Crane,125,IMO 18215,XQR6321,62357,Layar,PT. Transindo Xpress,Yul Brynner,Beo,Kayuadi,John Denver,Switzerland,,,,E,6,KKP,Kpl Kayu,
Penambangan Ilegal,Pasir,28/03/2016,09:55,121.586609,2.66807962,Laut Sulawesi,MV Sea Star,Senegal,Kpl Nelayan,144,IMO 59761,WXU921,54916,Sandar,PT. Wira Andalan Sukses,Zurutuza,Jayapura,Batu Goyang,Arshinov,Gaza Strip,,,,A,4,KKP,Tongkang,
Penambangan Ilegal,Timah,21/02/2017,20:45,130.5645642,-4.66802749,Laut Banda,MV Karen Danielsen,Turkmenistan,Kpl Pesiar,225,IMO 85346,WLV2825,37861,Lego,PT. Perishable Logistics Indonesia,Prita,Lirung,Kuala Tanjung,Omeruo,United Arab Emirates,,,,F,2,KKP,Survey/Kpl Survei,
Penambangan Ilegal,Batu Bara,21/10/2015,15:55,122.8191752,2.36808836,Laut Sulawesi,SS Belgic,Greece,Kpl Ro-Ro,200,IMO 98413,QLR8164,17826,Sandar,PT. Primajaya Abadi Logistik,Stanley B.,Pehe,Karimun Jawa,Faroek,Bermuda,,,,D,5,TNI AD,Kpl Layar,
Penambangan Ilegal,Pasir,26/09/2015,13:00,119.1527309,-7.49397286,Laut Flores,LT Cortesia,Sweden,Kargo/Barang,160,IMO 71212,LGO171614,53598,Lego,PT. ACC Express,Ninos Gouriye,Ransiki,Ippi,Tina Cohen Chang,Kazakhstan,,,,F,3,TNI AL,Kpl Pemadam Kebakaran/Fireboat,
Penambangan Ilegal,Timah,25/04/2015,18:55,118.005216,-8.01695867,Laut Flores,Arnold Mærsk,Argentina,Tug Boat/Kpl Tunda,246,IMO 64375,DCX9618,41435,Sandar,PT. Tunas Sejahtera Logistics,Yu Aida,Tanjung Berakit,Agats,Kayamba Gumbs,Finland,,,,B,1,KKP,Bulker/Kpl Pengangkut Barang Curah,
Penambangan Ilegal,Pasir,20/08/2017,20:50,129.6774903,-4.25503701,Laut Banda,USS Alkaid (AK-114),Vietnam,Kpl Derek/Crane,181,IMO 39758,YMU251725,87686,Lego,PT. Ekspresku Internasional Logistik,Reynavenzka,Mangoli,Tapaktuan,Imam Santoso,Angola,,,,C,4,Bakamla,Kargo/Barang,
Penambangan Ilegal,Bauksit,04/11/2016,05:35,125.186787,-4.55964411,Laut Banda,U-Sea Colonsay,Bermuda,Kpl Pemadam Kebakaran/Fireboat,168,IMO 97626,KPT132113,26119,Lego,PT. Nafastindo Trans Logistik,Niels Fleuren,Samuda,Mangarang,Al Mubarak,Belize,,,,C,3,KKP,Kpl Derek/Crane,
Penambangan Ilegal,Biji Besi,23/04/2015,18:25,106.81968,-4.28318,Laut Jawa,SS Bovic,India,Speed Boat,232,IMO 57573,KMS22421,39769,Layar,PT. Xpresindo Courier,Christine Baranski,Kalbut,Tanjung Priok,Palombo,Algeria,,,,F,6,TNI AD,Kpl Pengebor/Drillship,
Penambangan Ilegal,Timah,11/01/2017,19:25,131.3107178,1.73516467,Laut Halmahera,SS Naronic,Pitcairn Is.,Kpl Penyelamat/Lifeboat,221,IMO 34781,FNG142218,42712,Sandar,PT. Petrindo Nusa Persada,Pheidippides,Banggai,Segun,Sogi,The Bahamas,,,,B,1,TNI,Kpl Militer,
Penambangan Ilegal,Bauksit,20/05/2014,20:50,119.9516337,3.50280914,Laut Sulawesi,MV Adula,Cook Is.,Penumpang,156,IMO 61952,FHR2116,86816,Lego,PT. Rekha Trans Utama,Tuti Heraty,Selayar/Benteng/Rauf Rahman,Muara Angke,Moniz,Canada,,,,F,3,Bakamla,Survey/Kpl Survei,
Penambangan Ilegal,Bauksit,29/11/2015,09:05,130.557023,-6.20465856,Laut Banda,MV Avenue Star,Namibia,Kpl Kayu,126,IMO 37764,DDQ252113,79154,Lego,PT. Bee Bersama Kargo,Herry Kiswanto,Mangga Dua,Ujung Jabung,Shui-bian,United Kingdom,,,,A,1,Bakamla,Speed Boat,
Penambangan Ilegal,Batu Bara,14/07/2015,17:40,124.4381975,4.07853462,Laut Sulawesi,MSC Sabrina,St. Helena,Kpl Militer,249,IMO 44445,JCB221510,36773,Sandar,PT. Jala Sutera Indoraya,Hifuyo,Manado,Sebuku,Azis Gagap,Montenegro,,,,F,4,TNI AL,Penumpang,
Penambangan Ilegal,Biji Besi,08/02/2017,19:00,118.1293442,-6.43542685,Laut Flores,MV Capt. Steven L. Bennett (T-AK-4296),Lithuania,Survey/Kpl Survei,229,IMO 76471,CYI131813,31213,Lego,PT. Nursal Kurnia Abadi,Bagio,Karimata,Makassar,Delano,Brazil,,,,F,5,TNI AL,Tanker,
