kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Penyelundupan,Penyelundupan Komoditi,07/08/2015,22:50,129.1351097,-6.72496279,Laut Banda,MV Craigantlet,Slovakia,Tanker,210,IMO 38735,PKZ22120,12336,Layar,PT. Sky Light Multitrada,Yugo,Tarempa,Eci,Fitrilya,Montserrat,,,,C,6,TNI AU,Supply Ship,
Penyelundupan,Penyelundupan Komoditi,18/05/2015,04:05,123.2106094,2.57766916,Laut Sulawesi,Xin Los Angeles,Anguilla,Kpl Pengeruk/Dredger,187,IMO 77761,HSI1917,28584,Sandar,PT. Digdaya Galang Semesta,Al Fathir Muchtar,Batu Panjang,Para,Leon Britton,Bouvet I.,,,,D,6,TNI AU,Kpl Peti Kemas/Container,
Penyelundupan,Penyelundupan Komoditi,23/07/2019,00:35,111.47679,-5.2086,Laut Jawa,SS Belgic |||,Thailand,Bulker/Kpl Pengangkut Barang Curah,151,IMO 94526,BQJ262314,32992,Lego,PT. Top Express,Hasjrul,Galela,Sadai,A. M. Hendropriyono,Luxembourg,,,,B,4,TNI AL,Kpl Ro-Ro,
Penyelundupan,Penyelundupan Barang Tambang,23/02/2018,18:20,137.3263721,0.17268297,Laut Halmahera,USS Ascella (AK-137),Bangladesh,Kpl Pemadam Kebakaran/Fireboat,134,IMO 35356,BOY7254,89215,Sandar,PD. Guma Karya,Sergei Sharov,Pulau Owi,Mangga Dua,Rudolf Ludwig Mssbauer,Netherlands,,,,D,6,TNI AU,Kpl Derek/Crane,
Penyelundupan,Penyelundupan Senjata Handak,21/01/2018,18:10,124.1816981,4.16768017,Laut Sulawesi,Osaka Express,Chad,Kpl Pemadam Kebakaran/Fireboat,243,IMO 59627,TVH18122,53972,Layar,PT. Alfindo Trans Courier,Roberts Poinsett,Gresik,Pasapuat,Roda Antar,Anguilla,,,,D,3,TNI,Kargo/Barang,
Penyelundupan,Penyelundupan Migas,15/12/2015,19:30,120.8230051,4.13418559,Laut Sulawesi,Osaka Express,Tajikistan,Kpl Peti Kemas/Container,204,IMO 23999,PNT81722,79237,Layar,PT. Garuda Tama Indonesia,Lukianos,Depapre,Kintap,Langeneke,Thailand,,,,D,3,Bea Cukai,Kpl Pesiar,
Penyelundupan,Penyelundupan Senjata Handak,09/12/2019,12:20,118.2385357,-7.61197876,Laut Flores,Biruinta,Denmark,Kpl Kayu,215,IMO 91849,ZFH192015,46232,Lego,CV. Graha Multi Sarana,Cayden Boyd,Kuala Pembuang,Tegal,Halldra,Guinea-Bissau,,,,E,2,Polri,Kpl Selam,
Penyelundupan,Penyelundupan Senjata Handak,04/02/2016,04:45,120.1102082,2.26780742,Laut Sulawesi,MV Biscaglia,Tajikistan,Kpl Pemerintah,206,IMO 52818,BJJ26201,37174,Layar,PT. Teha Multi Solution,Yurike Prastika,Teluk Bayur,Jinato,Iyut,Gabon,,,,C,5,TNI AD,Kpl Ro-Ro,
Penyelundupan,Penyelundupan Migas,18/12/2019,03:30,122.4587899,4.17363339,Laut Sulawesi,Hansa Carrier,Lebanon,Tanker,228,IMO 21515,KCQ81626,62948,Sandar,PT. Srna Indonesia,Kaiane Aldorino,Tanjung Pakis,Tarempa,Eduardo Carrasco Gonzalez,Lesotho,,,,C,2,TNI,Kpl Peti Kemas/Container,
Penyelundupan,Penyelundupan Komoditi,02/12/2017,16:30,121.4289221,3.83488874,Laut Sulawesi,Akebono Maru,Marshall Is.,Kargo/Barang,168,IMO 99486,KYD122313,42384,Lego,PT. Lintas Expressindo Nusantara,Eljero Elia,Menanga,Mahaleta,Syngman Rhee,Mauritania,,,,E,3,TNI,Kpl Nelayan,
Penyelundupan,Penyelundupan Migas,15/08/2019,15:25,118.5261017,-6.61819974,Laut Flores,"TSS Camito, banana boat of Fyffes Line.",Christmas I.,Speed Boat,150,IMO 45497,ATS19173,29196,Layar,Toko Obat Bandung,Le Pen,Tanjung Satai,Pekajang,Yuuri Chinen,Micronesia,,,,C,1,TNI,Supply Ship,
Penyelundupan,Penyelundupan Migas,23/10/2019,00:45,110.31558,-5.53774,Laut Jawa,SS Naronic,Dominican Republic,Tanker,174,IMO 44929,LRJ26208,46268,Sandar,PD. Guma Karya,Edward Tudor Pole,Patimban,Marapokot,Michael Krohn Dehli,Iran,,,,A,4,KKP,Survey/Kpl Survei,
Penyelundupan,Penyelundupan Migas,11/04/2014,14:30,120.3917425,3.30273175,Laut Sulawesi,SS Afric,United Kingdom,Kpl Militer,219,IMO 77243,MOX19222,94577,Sandar,"PT. Regal Integra Makmur, Tbk",Jeffrey Rijsdijk,Lurang,Galesong,Martha Washington,Saudi Arabia,,,,F,5,TNI AU,Kpl Militer,
Penyelundupan,Penyelundupan Narkoba,29/04/2017,13:35,110.42976,-4.7541,Laut Jawa,MS Costa Marina,Moldova,Kpl Ikan,146,IMO 48674,CRR13612,77965,Layar,PT. Elnusa Petrofin,Milanetto,Tapaktuan,Pam,Patricia Wettig,Cape Verde,,,,F,3,Bea Cukai,Kargo/Barang,
Penyelundupan,Penyelundupan Komoditi,08/08/2014,04:55,133.0852379,1.79414984,Laut Halmahera,MV Ancylus,Morocco,Kpl Pemadam Kebakaran/Fireboat,170,IMO 76214,YBS15149,71545,Lego,PT. Hero Super Market ,Shapovalov,Cilacap,Elat,Wiranti Dhike,Netherlands,,,,F,3,TNI AL,Kpl Layar,
Penyelundupan,Penyelundupan Senjata Handak,12/12/2017,02:25,119.9051598,-7.98500289,Laut Flores,MV Capt. Steven L. Bennett (T-AK-4296),Sweden,Kpl Pengebor/Drillship,136,IMO 74689,ALN13118,82771,Layar,PT. Mitra Jasa Perkasa,Syngman,Kuala Tungkal,Dama,Malcolm X,The Bahamas,,,,B,4,TNI AD,Kargo/Barang,
Penyelundupan,Penyelundupan Barang Tambang,29/05/2019,08:55,119.2846115,-7.00298621,Laut Flores,SS Naronic,Syria,Kpl Peti Kemas/Container,154,IMO 56742,JJG42612,36374,Layar,PT. Kharisma Tekad Karya,Eliseu,Celukan Bawang,Pasean,David Pegg,Haiti,,,,F,1,Polri,Tanker,
Penyelundupan,Penyelundupan Komoditi,25/10/2018,21:10,136.8789917,0.55676539,Laut Halmahera,Thomas W. Lawson,Serbia,Kpl Militer,198,IMO 96676,ZMA102019,61978,Layar,PT. Trans Anugrah Logistik,Omar Ibrahim Ghalawanji,Reo,Dama,Karen Rodriguez,Iceland,,,,C,5,TNI,Kpl Pemadam Kebakaran/Fireboat,
Penyelundupan,Penyelundupan Barang Tambang,16/01/2017,11:40,134.4799568,1.1436894,Laut Halmahera,MS Costa Marina,Equatorial Guinea,Kpl Pengebor/Drillship,139,IMO 53292,PFU252524,31799,Sandar,Sinar Abadi Textil,Bellina,P. Sapuka,Hila/Romang,Indah Indriana,Chile,,,,B,3,TNI AL,Kpl Ro-Ro,
Penyelundupan,Penyelundupan Komoditi,18/07/2019,19:35,121.634769,3.69299827,Laut Sulawesi,Amoco Cadiz,Gaza Strip,Survey/Kpl Survei,228,IMO 25661,BWO23165,49377,Sandar,PT. Rekakurir Eka Dharma,Kurt Furgler,Natal / Sikara-kara,Bengkalis,Gerhard Ertl,Burkina Faso,,,,B,5,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Penyelundupan,Penyelundupan Senjata Handak,25/11/2018,12:10,119.6817371,2.3160935,Laut Sulawesi,"Estelle Mærsk, container ship for Maersk Line",Bolivia,Kpl Selam,152,IMO 97444,PYV121814,55791,Sandar,PT. ESL EXPRESS,Meuthia Kasim,Salakan,Badas,Sasa Radivojevic,Sierra Leone,,,,F,5,Polri,Kpl Derek/Crane,
Penyelundupan,Penyelundupan Senjata Handak,23/09/2014,15:45,116.5159584,-6.74556517,Laut Flores,MV Alexia,Ecuador,Kargo/Barang,202,IMO 58928,UMC171821,51437,Layar,PT. Fam Logistik Distribusi,Widura,Pagimana,Munte/Luwu Utara,N'dy Assemb,Costa Rica,,,,A,2,TNI AU,Tug Boat/Kpl Tunda,
Penyelundupan,Penyelundupan Komoditi,07/04/2015,18:45,117.2048832,-6.74571188,Laut Flores,U-Sea Saskatchewan,Tuvalu,Kpl Pengeruk/Dredger,248,IMO 51298,QUB18125,22778,Layar,King Garden,Rukmini,Tual,Karimun Jawa,Peter Tschudi,Tanzania,,,,B,5,KKP,Speed Boat,
Penyelundupan,Penyelundupan Migas,02/08/2017,20:00,129.9125527,0.49898474,Laut Halmahera,MSC Leigh,Saudi Arabia,Supply Ship,118,IMO 51361,CNN8420,88215,Lego,PT. Giandres Abadi Express,Pengantar Minum,Lasalimu,Gresik,Shinichi Suzuki,Mauritania,,,,A,6,Bakamla,Kpl Penyelamat/Lifeboat,
Penyelundupan,Penyelundupan Senjata Handak,18/11/2016,01:10,110.27852,-5.80867,Laut Jawa,"Houston Express, container ship for Hapag-Lloyd line",Tokelau,Kpl Pemadam Kebakaran/Fireboat,177,IMO 87843,ZJO2227,86569,Sandar,Bintang Terang,Disney,Likupang,Waworada,Lederberg,Ecuador,,,,B,2,Polri,Tanker,
Penyelundupan,Penyelundupan Barang Tambang,09/07/2014,20:25,128.723888,-5.99097072,Laut Banda,MV Stolt Strength,Brunei,Kpl Pemadam Kebakaran/Fireboat,172,IMO 99117,IMB31510,93199,Sandar,PT. Mitra Jasa Perkasa,Urbain Le,Depapre,Atapupu,Gumilar Rusliwa Somantri,Turkmenistan,,,,E,1,TNI AD,Kpl Peti Kemas/Container,
Penyelundupan,Penyelundupan Narkoba,27/09/2015,16:20,128.3926997,-5.43230007,Laut Banda,CMA CGM Vela,Barbados,Kpl Pengebor/Drillship,117,IMO 27652,NJB866,93259,Lego,PT. Jalan Baru Jalan,David James,Lagundi,Gresik,Andrs Perna,Niger,,,,F,3,TNI,Tongkang,
Penyelundupan,Penyelundupan Migas,10/03/2015,14:10,135.9688549,-0.03978906,Laut Halmahera,SS Atlantic Conveyor,St. Vincent & the Grenadines,Kpl Derek/Crane,105,IMO 88778,FBH20234,78397,Lego,PT. Alfindo Trans Courier,Laplace,Kalama,Kasipute,Raden Aria Adipati Wiranatakusuma,Tokelau,,,,F,3,KKP,Kpl Militer,
Penyelundupan,Penyelundupan Barang Tambang,20/01/2015,10:15,119.5164221,-7.61674222,Laut Flores,MV Macoma,Austria,Bulker/Kpl Pengangkut Barang Curah,243,IMO 87515,JHO1222,79262,Lego,PD. Cahaya Rohmat,Abdullah Ahmad Badawi,Siompu,Marlasi,Ardilla,Ghana,,,,A,1,TNI,Kpl Pemadam Kebakaran/Fireboat,
Penyelundupan,Penyelundupan Migas,06/12/2018,14:50,136.396236,0.05649864,Laut Halmahera,USS Alkes (AK-110),Iraq,Tug Boat/Kpl Tunda,198,IMO 54115,RQF12311,36776,Lego,PT. Bintang Jaya Trans,Gladys Fung,Pasuruan,Waisai,Qubil AJ,Cocos Is.,,,,C,3,Polri,Supply Ship,
Penyelundupan,Penyelundupan Migas,10/07/2014,02:00,109.08548,-3.57059,Laut Jawa,Biruinta,Monaco,Kpl Ro-Ro,181,IMO 37464,WHT241118,34763,Layar,PT. Gamma Epsilon ,Silvio Piola,Loseng,Para,Shalim Alfarisi,Bouvet I.,,,,E,5,KKP,Kpl Penyelamat/Lifeboat,
Penyelundupan,Penyelundupan Senjata Handak,04/05/2018,09:15,116.8228135,-7.98090889,Laut Flores,SS Atlantic Conveyor,Seychelles,Kpl Peti Kemas/Container,162,IMO 75485,WZY31313,97678,Layar,PT. QQ World Express,Heston,Loleo Jaya,Saparua/Haria,Steven Berghuis,Gaza Strip,,,,B,3,TNI AD,Bulker/Kpl Pengangkut Barang Curah,
Penyelundupan,Penyelundupan Barang Tambang,25/08/2014,23:20,130.1955361,2.05073554,Laut Halmahera,MV Empire MacCabe,Wallis & Futuna,Speed Boat,157,IMO 98499,FFN2811,22484,Lego,Toko Lili,Jeon Hyosung,Sirombu,Mangga Dua,Djenar,Bolivia,,,,F,3,Bakamla,Kpl Layar,
