kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Perompakan,Level 2,28/10/2017,07:35,128.4618002,-5.62787797,Laut Banda,USS Aludra (AK-72),Swaziland,Tanker,159,IMO 32662,SNQ25167,48975,Layar,PT. Jaha Buana Lestari,Yusfin,Muara Baru,P. Sabutung,P. Lovecraft,Jordan,,,,B,2,TNI AD,Tug Boat/Kpl Tunda,
Perompakan,Level 2,03/09/2018,12:45,128.7175779,-4.42685166,Laut Banda,MV Empire MacColl,Uganda,Bulker/Kpl Pengangkut Barang Curah,146,IMO 79384,CZX12422,39691,Sandar,PT. Biro Grata Mandiri,Jos Salomn,Celukan Bawang,Garongkong,Nina Melinda,Peru,,,,F,6,TNI AD,Kpl Penyelamat/Lifeboat,
Perompakan,Level 1,11/08/2015,10:25,125.1716542,-5.92931468,Laut Banda,USS Arkab (AK-130),Nauru,Kpl Penyelamat/Lifeboat,133,IMO 13774,PRR4129,68913,Sandar,PT. Jaya Mitra Makmur,Andrea Lee,amahaii,Lembar,Clodovil,Cook Is.,,,,F,5,TNI AU,Kpl Layar,
Perompakan,Level 4,24/02/2018,07:20,125.1642663,-4.28218547,Laut Banda,SS Suevic,Slovakia,Bulker/Kpl Pengangkut Barang Curah,105,IMO 61983,OUB81417,53451,Lego,"PT. Regal Integra Makmur, Tbk",Duc,Naikliu,Air Buaya,Heppy,Portugal,,,,C,4,Bakamla,Tug Boat/Kpl Tunda,
Perompakan,Level 1,31/10/2015,02:25,120.1182905,-6.53286069,Laut Flores,"Onaiza, LNG Tanker",Guam,Supply Ship,247,IMO 42963,TXU2724,26465,Lego,PT. Central Express,Enrique,Dapalan,Tanjung Pinang,Mesmer,Tonga,,,,B,1,TNI AL,Bulker/Kpl Pengangkut Barang Curah,
Perompakan,Level 3,25/07/2015,13:45,120.6151689,3.04405525,Laut Sulawesi,Astron,San Marino,Tongkang,168,IMO 31882,PLO20214,81714,Layar,PT. Ekspres Sistem Indonesia,Brenda Song,Pawi,Belang,Martn Bejarano-Serrano,Cayman Is.,,,,E,3,Polri,Kpl Pesiar,
Perompakan,Level 3,07/05/2019,05:05,118.7180511,-7.98317478,Laut Flores,USS Arided (AK-73),Northern Mariana Is.,Kpl Pengeruk/Dredger,124,IMO 74379,DTV7185,53451,Layar,PT. Ben Sinergi Translogistik,Poepon,P. Sabutung,Siuban,Mohammad Husni,Tonga,,,,C,2,TNI AD,Kpl Pengeruk/Dredger,
Perompakan,Level 3,21/04/2014,19:05,108.35667,-5.77612,Laut Jawa,Histria Agata,Mozambique,Kpl Peti Kemas/Container,226,IMO 64192,HXE8121,44219,Layar,PD. Talindo,Reza,Mempawah,Bau-Bau/Murhum,L. Perl,Cape Verde,,,,C,6,Polri,Kpl Selam,
Perompakan,Level 4,05/02/2015,00:35,118.1351673,-7.30484489,Laut Flores,SS vedic,Western Sahara,Kpl Layar,145,IMO 13243,QPX21216,39411,Sandar,PT. Xpresindo Courier,B. Lewis,Serwaru,Asiki,Eadweard,Tanzania,,,,E,5,TNI AU,Kpl Ro-Ro,
Perompakan,Level 1,01/06/2018,07:40,109.43443,-5.20132,Laut Jawa,"Houston Express, container ship for Hapag-Lloyd line",Central African Republic,Speed Boat,159,IMO 56858,QJX171422,61659,Lego,PT. Pesan Delivery Indonesia,Ballin,Ereke,Bagan siapi-api,Pelaez,Guyana,,,,F,2,TNI AD,Kpl Pemerintah,
