kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Pertikaian di Laut,,02/08/2019,00:20,128.8312919,-5.15542061,Laut Banda,"Estelle Mærsk, container ship for Maersk Line",Slovakia,Kpl Pesiar,191,IMO 72232,RWO26115,18957,Sandar,Kharisma Abadi,Johann Friedrich,Belitung,Taniwel,Jigyel Ugyen Wangchuck,Nepal,,,,A,4,TNI AU,Kpl Militer,
Pertikaian di Laut,,30/12/2015,12:00,121.3027979,3.58250073,Laut Sulawesi,SS Asiatic,Yemen,Kpl Militer,136,IMO 73135,QVW2581,42972,Sandar,PT. Mirantha Nuansa Ayu,Mirchoff,Tahuna,Keramaian,Sarah Harding,Tokelau,,,,A,3,TNI AU,Tug Boat/Kpl Tunda,
Pertikaian di Laut,,07/06/2017,21:45,116.5357164,-7.75018817,Laut Flores,MV Ancylus,Gaza Strip,Kpl Pesiar,145,IMO 53941,CYI131813,88917,Layar,PT. Nursal Kurnia Abadi,Martin Leonhard Albrecht Kossel,Sepo,Tanjung Balai Asahan,Onn,Pakistan,,,,C,3,Polri,Tongkang,
Pertikaian di Laut,,01/10/2019,23:55,137.1626645,0.57205984,Laut Halmahera,MS Costa Allegra,Brazil,Tug Boat/Kpl Tunda,113,IMO 71851,GJR1512,58998,Sandar,PT. Pusaka Cakra,Aksu,amahaii,Maumere /Laurentius Say,Alika Islamadina,Russia,,,,F,1,Bakamla,Speed Boat,
Pertikaian di Laut,,07/07/2018,01:10,117.4032038,-7.95976875,Laut Flores,MV Harpa,Brunei,Tanker,238,IMO 86155,YCH62421,32994,Lego,PD. Talindo,Marcel Desailly,Tifure,Gorontalo,Pasternak,French Polynesia,,,,F,3,Bakamla,Kpl Kayu,
Pertikaian di Laut,,13/10/2019,20:55,135.6974812,0.02703027,Laut Halmahera,SS Galeic,Niue,Supply Ship,211,IMO 49981,LUV5173,18871,Sandar,Paskal Food Market,Richard Gasquet,Manokwari,Seba,Neil Patrick Harris,Turkmenistan,,,,A,4,Polri,Kpl Nelayan,
Pertikaian di Laut,,21/04/2018,23:00,130.0886129,1.29519618,Laut Halmahera,"Emma Mærsk, container ship for Maersk Line",Kiribati,Tongkang,181,IMO 57451,GOA2134,63778,Lego,PT. Trans Anugrah Logistik,Nicolae Ceauescu,P. Sailus,Cituis,Risca Indah,Central African Republic,,,,F,4,TNI AU,Kpl Selam,
Pertikaian di Laut,,02/08/2018,22:30,130.496631,1.76042695,Laut Halmahera,SS Bardic,Tonga,Kpl Selam,235,IMO 44531,CMF42113,51789,Layar,PT. Rekha Trans Utama,Ibez,Eci,Kaledupa,Angelo Peruzzi,Venezuela,,,,E,6,TNI AL,Kpl Ikan,
Pertikaian di Laut,,11/10/2019,21:35,125.7695467,-4.46005182,Laut Banda,MV Empire MacKay,Niger,Bulker/Kpl Pengangkut Barang Curah,244,IMO 67485,IAR4114,98618,Layar,PT. Cakranusa Mining,Prokhorov,Bataka,Kao,Chia-kan,Madagascar,,,,E,3,TNI,Kpl Ikan,
Pertikaian di Laut,,13/08/2018,02:30,111.4623,-4.4585,Laut Jawa,NYK Vega,Grenada,Bulker/Kpl Pengangkut Barang Curah,163,IMO 97176,OVB23193,13589,Layar,"Koperasi Pegawai PT. Indosat, Tbk",Kayoko,Dapalan,Legon Bajak,Zainal Mustafa,Portugal,,,,D,1,TNI AL,Tug Boat/Kpl Tunda,
Pertikaian di Laut,,19/01/2018,06:30,128.1799939,-5.3169352,Laut Banda,MSC Rosaria,Trinidad & Tobago,Penumpang,102,IMO 13153,USQ2449,34878,Lego,Sinar Abadi Textil,Joseph E.,Pulau Baai,Binongko,Allisyn,Uruguay,,,,C,4,TNI AL,Penumpang,
Pertikaian di Laut,,30/06/2018,23:10,126.0909763,-6.78078374,Laut Banda,SS Medic,Hungary,Tongkang,163,IMO 71815,CKR202623,44686,Lego,PT. Fama Persada,Holman,Sungsang,Waikelo,Karen Carlotta,Brazil,,,,A,5,Bakamla,Tongkang,
