Kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Perusakan Ekosistem,Menabrak Karang,31/05/2015,04:40,126.1042283,-5.54989747,Laut Banda,MV Delight,Kenya,Kpl Derek/Crane,121,IMO 94386,GAD201415,85151,Sandar,PT. Andalan Mandiri Ekspress,Lee Dong Gook,Kendal,Ulu Siau,Shevchenko,Chile,,,,E,6,TNI,Bulker/Kpl Pengangkut Barang Curah,
Perusakan Ekosistem,Bom Ikan,10/01/2018,07:45,119.2493131,-7.5315405,Laut Flores,SS Fredericksburg,Spain,Kpl Derek/Crane,159,IMO 34826,QUZ111311,22542,Lego,PT. Arsita Utama Indonesia,James Ward Prowse,Kangean,Budong-Budong,Kromkamp,French Guiana,,,,D,3,KKP,Kpl Kayu,
Perusakan Ekosistem,Bom Ikan,22/03/2018,15:40,107.77779,-6.04743,Laut Jawa,"Estelle Mærsk, container ship for Maersk Line",Canada,Kpl Derek/Crane,107,IMO 92352,MNM242524,65172,Lego,PT. Astragraphia Xprins indonesia,Mohd Safee Mohd Sali,Tanjung Api-Api,Kawaluso,Mihai Eminescu,Laos,,,,B,4,TNI,Kpl Pemadam Kebakaran/Fireboat,
Perusakan Ekosistem,Kebocoran Minyak,19/06/2015,16:40,132.6703746,0.9571635,Laut Halmahera,MV Star Osakana,The Gambia,Survey/Kpl Survei,141,IMO 85283,ORS8417,75647,Layar,PD. Anugerah Sejati,Sharonov,Marlasi,Ngalipaeng,Kiko Argello,"Congo, DRC",,,,B,6,TNI AD,Kpl Pemadam Kebakaran/Fireboat,
Perusakan Ekosistem,Pembuangan Limbah,03/12/2015,02:45,110.26751,-5.91511,Laut Jawa,SS Georgic,Sweden,Tanker,132,IMO 27743,OMG171217,42216,Sandar,PT. Windu Pratama Courier,Kevin Strootman,Kisar,Kalianda,Dustin Hoffman,Honduras,,,,A,6,KKP,Supply Ship,
Perusakan Ekosistem,Menabrak Karang,20/08/2019,07:20,124.4474378,2.26094029,Laut Sulawesi,Histria Agata,Haiti,Penumpang,209,IMO 71526,AVR151121,42392,Sandar,Toko Lili,Shuan Wang,Dompak,Parit Rempak,Valry,Cocos Is.,,,,C,6,TNI AL,Kpl Pemadam Kebakaran/Fireboat,
Perusakan Ekosistem,Kebocoran Minyak,05/02/2019,08:25,109.01545,-5.06967,Laut Jawa,USS Arkab (AK-130),Qatar,Kpl Penyelamat/Lifeboat,151,IMO 47739,IOC20211,77449,Lego,PT. Satu Sumber Sarana,Kadek,Sadai,Sesayap,Gonalons,Bhutan,,,,D,2,TNI,Tug Boat/Kpl Tunda,
Perusakan Ekosistem,Kebocoran Minyak,18/01/2017,01:35,125.8922285,-5.58589859,Laut Banda,MSC Napoli,Spain,Kargo/Barang,133,IMO 74321,VRF212311,33589,Sandar,Yong,Najwa Shihab,Talaga Raya,Pawi,Faussurier,Iceland,,,,C,2,TNI AD,Bulker/Kpl Pengangkut Barang Curah,
Perusakan Ekosistem,Pembuangan Limbah,17/02/2018,10:05,126.1418041,-4.58577015,Laut Banda,SS Atlantic Causeway,Jarvis I.,Kpl Pemerintah,169,IMO 45515,AAX3624,18586,Layar,PT. Benua Expressindo Utama,Hanura,Pekanbaru,Kuala Jelay,Diakhat,Falkland Is.,,,,B,6,TNI AD,Kpl Penyelamat/Lifeboat,
Perusakan Ekosistem,Kebocoran Minyak,03/06/2018,09:30,116.5497634,-6.72202729,Laut Flores,USS Appanoose (AK-226),India,Kpl Penyelamat/Lifeboat,108,IMO 77429,MQZ20124,49811,Lego,PT. Dino Logistics Perkasa,Cheong Seng,Biu,Wamengkoli,Ruslan Kuznetsov,Equatorial Guinea,,,,A,4,Bakamla,Tongkang,
Perusakan Ekosistem,Menabrak Karang,17/07/2015,13:20,108.01687,-3.89954,Laut Jawa,"Gudrun Mærsk, container ship for Maersk Line",Venezuela,Kpl Ro-Ro,235,IMO 81666,ZPV21510,78917,Layar,PT. Catur Ekapurcanga Indah,Arbi Sanit,Malbufa,Bantaeng,Savalas,Saudi Arabia,,,,A,1,TNI,Kpl Peti Kemas/Container,
Perusakan Ekosistem,Menabrak Karang,18/09/2015,04:50,117.453661,-7.35870597,Laut Flores,"Gudrun Mærsk, container ship for Maersk Line",France,Tongkang,181,IMO 91176,DPA2081,35688,Sandar,"PT. Regal Integra Makmur, Tbk",Godmanis,Bintuni,Dawi-dawi,R. Marshall,Philippines,,,,A,4,TNI AL,Kpl Pesiar,
Perusakan Ekosistem,Menabrak Karang,29/06/2018,12:05,116.48088,-6.73731458,Laut Flores,MV Star Osakana,Kyrgyzstan,Kpl Pengeruk/Dredger,230,IMO 56858,LIA32623,53823,Sandar,PT. Kemala Putra Panglima 14,Anka,Kupang,Damar,Kevin Andrean,Sri Lanka,,,,B,5,Bakamla,Kpl Derek/Crane,
Perusakan Ekosistem,Menabrak Karang,01/04/2016,17:20,118.8990855,-7.90429227,Laut Flores,USS Ascella (AK-137),Turkmenistan,Tongkang,168,IMO 35278,SNR142510,67333,Sandar,PT. Rekha Trans Utama,Tomas Transtrmer,Tanjung Api-Api,Pangkal Balam,Viktor Klimeyev,Brazil,,,,B,2,TNI,Kpl Pengeruk/Dredger,
Perusakan Ekosistem,Kebocoran Minyak,02/08/2019,13:35,118.711931,-6.67496002,Laut Flores,MV Monchegorsk,Dominican Republic,Kpl Ro-Ro,244,IMO 52961,KXH3215,25551,Layar,PT. Buana Tirta,Tysa Noveni,Batu Enam,Karimun Jawa,Galloppa,United Arab Emirates,,,,F,3,Polri,Tongkang,
Perusakan Ekosistem,Menabrak Karang,18/04/2015,03:30,118.6143796,-7.18444097,Laut Flores,MV Golden Nori,Haiti,Speed Boat,138,IMO 61844,FGM32319,13117,Layar,PT. Alfindo Trans Courier,Vinay,Naikliu,Palue,Abbe,Bermuda,,,,F,6,TNI AU,Tug Boat/Kpl Tunda,
Perusakan Ekosistem,Bom Ikan,11/02/2017,18:35,129.1803167,-6.12731709,Laut Banda,MV Avenue Star,Portugal,Kpl Selam,195,IMO 64826,NBR6623,85543,Layar,CV. Dwijaya Makmur,Shihab,Kertapati,Ogoamas,Guus,Wallis & Futuna,,,,D,3,Bea Cukai,Kpl Ro-Ro,
