kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Piracy,Level 4,01/03/2014,15:40,120.9530666,3.78926714,Laut Sulawesi,Sitakund,Uruguay,Tanker,196,IMO 86239,YGP3111,46776,Sandar,PT. Kereta Api Logistik,Ahmad Bustomi,Dabo Singkep,Belawan,Christian Hadinata,Lithuania,,,,D,2,TNI AU,Survey/Kpl Survei,
Piracy,Level 1,23/09/2015,23:50,130.0273696,-5.33436736,Laut Banda,SS Desabla,Andorra,Tug Boat/Kpl Tunda,190,IMO 48147,JCK7119,58433,Layar,PT. Abjad Barco Lamhin,Mirco,Korido,Tanjung Satai,Sabah Al Ahmad Al Jaber Al Sabah,Niue,,,,B,6,Bakamla,Kpl Ikan,
Piracy,Level 2,20/02/2017,08:45,135.6667611,-0.03755018,Laut Halmahera,MV Gadila,Russia,Kpl Pengebor/Drillship,215,IMO 94484,GMA41016,46537,Sandar,PT. Transindo Xpress,Farida Oetoyo,Sawang,Sigli,Redouanne Barkaoui,"Congo, DRC",,,,F,1,KKP,Tongkang,
Piracy,Level 2,10/11/2019,01:25,127.458063,-4.43629845,Laut Banda,MV Resolution Bay,New Caledonia,Kpl Pemerintah,192,IMO 29611,GEO101815,51581,Layar,PT. Three Global Pratama Indonesia,Ipul Bahri,Majene,Gunung Sitoli,Clodovil,Netherlands Antilles,,,,F,5,TNI,Kpl Pengebor/Drillship,
Piracy,Level 3,25/11/2017,04:05,108.12083,-5.03532,Laut Jawa,SS Belgic |||,Iceland,Kpl Pengebor/Drillship,180,IMO 66569,CVM18245,95298,Lego,PT. Ahner Adhi Perkara,Ral Fernndez Valverde,Teluk Malala,Teluk Melano/Teluk Batang,Claudette,Jamaica,,,,E,5,Bea Cukai,Kpl Pemerintah,
Piracy,Level 2,06/07/2017,00:10,127.0425047,-5.1092493,Laut Banda,MSC Sabrina,French Southern & Antarctic Lands,Tanker,137,IMO 25269,JPP251425,47455,Sandar,PT. Central Express,Bobonazarov,Seget,Pare-Pare,Tomonobu Togasaki,Ethiopia,,,,D,5,Polri,Tug Boat/Kpl Tunda,
Piracy,Level 1,24/04/2015,23:30,124.8189467,-6.00728651,Laut Banda,SS Bardic,Slovakia,Kpl Layar,169,IMO 22937,WJR6233,18451,Sandar,PT. Mediacom TV,Mateja Keman,Pulau Kayoa,Selayar/Benteng/Rauf Rahman,Jacek,Azerbaijan,,,,C,5,TNI,Kpl Derek/Crane,
Piracy,Level 2,25/10/2016,21:20,123.7598962,3.92623552,Laut Sulawesi,MS Costa Allegra,Dominican Republic,Speed Boat,104,IMO 81224,QPP575,97339,Lego,PT. Nafastindo Trans Logistik,Locke,Sesayap,Maumere /Laurentius Say,Walter Gilbert,Mayotte,,,,C,5,TNI AU,Bulker/Kpl Pengangkut Barang Curah,
Piracy,Level 2,14/01/2016,18:10,130.5639598,-6.76102634,Laut Banda,USS Allegan (AK-225),Seychelles,Kpl Peti Kemas/Container,235,IMO 73297,DDI2165,58726,Layar,PT. Indo Efti,Oguro,Sunda Kelapa,Midai,Ahamada,Botswana,,,,D,1,TNI AD,Supply Ship,
Piracy,Level 4,04/11/2015,06:25,119.4848513,-7.72738669,Laut Flores,U-Sea Saskatchewan,Colombia,Kpl Derek/Crane,160,IMO 46921,SDB5188,85276,Lego,PT. Ahner Adhi Perkara,Aprilio,Lirung,Selat Lampa,Venna Melinda,Tunisia,,,,C,5,TNI,Kpl Layar,
Piracy,Level 2,01/06/2015,04:40,124.1230499,3.97499692,Laut Sulawesi,"Houston Express, container ship for Hapag-Lloyd line",Kiribati,Kpl Derek/Crane,220,IMO 62183,VBD21186,61699,Sandar,PT. Dharmasa Adi Sejahtera,E.G. Marshall,Eray,Giliketapang,Nursriani,St. Helena,,,,C,5,Bakamla,Kpl Pesiar,
Piracy,Level 2,02/04/2017,20:30,122.1253487,2.38418349,Laut Sulawesi,SS Fredericksburg,United Kingdom,Speed Boat,119,IMO 58725,UBF16239,87813,Lego,PT. Penta Prima Utama,Xzibit,Rengat/Kuala Cinaku,Pangkalan Susu,Bocaly,Antigua & Barbuda,,,,F,1,Bakamla,Tanker,
Piracy,Level 4,05/09/2017,22:45,123.0788704,2.57250726,Laut Sulawesi,MV Sea Empress,Samoa,Kpl Pemerintah,147,IMO 49653,HJT61117,43698,Sandar,PT. Sayap Biru Ekspres,Heliade Rdulescu,Seget,Karangantu,Yadi,Guam,,,,F,5,KKP,Kpl Pesiar,
Piracy,Level 2,20/10/2018,18:45,108.57986,-3.73555,Laut Jawa,MSC Leigh,Thailand,Kpl Militer,100,IMO 56346,OZG24254,94152,Sandar,PT. Ravera Angkasa Mandiri,Ward Prowse,Tifure,Teluk Palu,Nusyirwan Ismail,Montserrat,,,,A,3,TNI AU,Kpl Militer,
Piracy,Level 1,07/01/2018,01:45,119.751417,-7.57984484,Laut Flores,MV Virginian (T-AK 9205),Faroe Is.,Supply Ship,250,IMO 61581,MOX19222,71729,Lego,Sigma Net,Norman Kamaru,Teluk Palu,Selayar/Benteng/Rauf Rahman,Allan Marques,Cook Is.,,,,C,5,TNI AD,Kpl Peti Kemas/Container,
