kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Sabotase,,06/06/2014,02:30,117.3552704,-6.71774944,Laut Flores,MT Haven,Christmas I.,Kpl Pemerintah,217,IMO 21311,DRX131311,99431,Sandar,Graha Elang,Alex Dupont,Fani,Sinaboi,Mantovani,Switzerland,,,,E,6,TNI,Kpl Selam,
Sabotase,,12/07/2015,14:35,122.9310884,3.95075179,Laut Sulawesi,SS Arthur M. Anderson,Paraguay,Kpl Layar,116,IMO 71995,ORC222021,32359,Layar,PT. Mekar Lintas Nusa,Nigar,Bunta,Boom Baru/Palembang,Muslim Ahmad,Morocco,,,,E,1,Polri,Tanker,
Sabotase,,15/06/2016,19:50,124.8753528,-4.28482469,Laut Banda,U-Sea Colonsay,Vanuatu,Kpl Militer,219,IMO 33187,QJX171422,19114,Sandar,PT. Bosko Logistic,Tassos Papadopoulos,Telaga Biru,Ende,Struijk,Mexico,,,,A,5,Bea Cukai,Kpl Layar,
Sabotase,,24/05/2017,04:30,118.5236736,-7.07641408,Laut Flores,SS Asiatic,Togo,Kpl Ikan,183,IMO 86791,CMO152420,76864,Sandar,PT. Win Semesta Ekspress,Madeleine,Oswald Siahaan/Labuhan Angin,P. Sapuka,Lurling,American Samoa,,,,D,5,Bea Cukai,Kpl Pemadam Kebakaran/Fireboat,
Sabotase,,22/06/2017,05:05,132.3753878,0.47863673,Laut Halmahera,USS Alkes (AK-110),Kyrgyzstan,Tug Boat/Kpl Tunda,209,IMO 98582,BFV131511,42191,Sandar,PT. Indo Efti,Rangkayo Basa,Segun,Kuala Tanjung,Dmitri,Slovakia,,,,D,3,Bakamla,Supply Ship,
Sabotase,,23/08/2019,19:25,111.49633,-4.61945,Laut Jawa,MV Ascension,Colombia,Kpl Militer,146,IMO 57811,HDN191425,91148,Lego,PT. Petrindo Nusa Persada,Alfred E. Goodey,Kotabaru,Dawai,Meles Zenawi,Jordan,,,,A,3,Polri,Kpl Pengeruk/Dredger,
Sabotase,,03/08/2014,19:10,119.2457593,-7.47344219,Laut Flores,CMA CGM Medea,Belgium,Kpl Selam,158,IMO 32387,MZF12524,74996,Layar,PT. Andalan Mandiri Ekspress,Olimpa,Sapeken,Ambon,Walcott,Papua New Guinea,,,,F,5,TNI AD,Supply Ship,
Sabotase,,15/10/2015,21:15,131.1599152,0.69334301,Laut Halmahera,Torben Spirit,Romania,Kpl Pengeruk/Dredger,112,IMO 55428,AOV2224,59375,Layar,Agung Jaya,Joe Mantegna,Probolinggo,Belitung,Nstor Kirchner,Myanmar,,,,D,3,TNI,Tanker,
Sabotase,,06/12/2018,00:05,125.7600569,-6.79549419,Laut Banda,MV Ancylus,Serbia,Kpl Selam,120,IMO 31834,BAA18177,69746,Sandar,PT. Gilsum Jasa Semesta,Victor Leandro,Ende,Sangkulirang,Sabah Al Ahmad Al Jaber,Chile,,,,A,5,Polri,Kpl Pengebor/Drillship,
Sabotase,,16/12/2016,06:00,136.0279575,0.95096904,Laut Halmahera,MV Adula,Panama,Survey/Kpl Survei,189,IMO 76668,WGK142520,26119,Sandar,PD. Cahaya Rohmat,Tez,Jailolo,Dawi-dawi,Tyurikov,Mali,,,,A,6,TNI AL,Kpl Pengebor/Drillship,
Sabotase,,26/03/2015,14:55,122.1865915,3.83370398,Laut Sulawesi,SS Tauric,Guam,Supply Ship,177,IMO 34945,AAC122213,98184,Sandar,PT. Fama Persada,Bassong,Eci,Cilacap,Adams,Jarvis I.,,,,C,3,Bakamla,Tongkang,
Sabotase,,30/07/2015,20:40,110.79358,-4.7256,Laut Jawa,MV Cristina A,Kiribati,Penumpang,111,IMO 75626,CGQ172114,88493,Layar,PT. Catur Ekapurcanga Indah,Citra Happy Lestari,Terong/Waiwerang,Kayuadi,Oriol Romeu,Rwanda,,,,F,6,TNI AD,Kpl Derek/Crane,
Sabotase,,21/05/2019,23:20,127.098905,-5.72967771,Laut Banda,MV Sea Empress,Cayman Is.,Kpl Selam,179,IMO 36632,AQZ8119,84267,Sandar,PT. Garuda Tama Indonesia,van den Berg,Nabire,Muara Siberut/Simailepet,John Lipsky,Uganda,,,,E,5,Bakamla,Kargo/Barang,
Sabotase,,24/05/2015,18:00,137.0640637,1.20786383,Laut Halmahera,USS Alderamin (AK-116),Moldova,Kpl Pesiar,162,IMO 46111,KAP15517,55165,Lego,PT. Indo Efti,Glushkov,Menui,Marlasi,Enrique Iglesias,Cocos Is.,,,,C,3,Bakamla,Supply Ship,
Sabotase,,12/03/2019,18:45,108.24795,-5.534,Laut Jawa,MS Costa Marina,Pitcairn Is.,Kpl Selam,208,IMO 68442,XTO9183,36946,Lego,PT. Indomarco Primata,Adrianus,Fani,Labuhan Maringgai,lvaro Mesn,Guadeloupe,,,,E,1,TNI AU,Kpl Penyelamat/Lifeboat,
Sabotase,,20/11/2019,02:40,108.85762,-5.85103,Laut Jawa,"Onaiza, LNG Tanker",Guinea-Bissau,Kpl Nelayan,188,IMO 39919,JLQ18114,34247,Sandar,PT. Hadid Steel Indonesia,Pinochet,Mandopolo/Jojame,Binanatu,Anton Proshin,Maldives,,,,F,2,TNI,Bulker/Kpl Pengangkut Barang Curah,
Sabotase,,19/09/2017,16:20,110.64133,-3.84184,Laut Jawa,SS Belgic ||,Guatemala,Kpl Kayu,162,IMO 96437,ISV26209,38194,Sandar,PT. Arsita Utama Indonesia,Pablo Daniel Osvaldo,Naikliu,Pulau Owi,Pierre Pattrick,Spain,,,,C,5,TNI AD,Kpl Derek/Crane,
Sabotase,,05/03/2016,13:35,124.5430837,2.05545917,Laut Sulawesi,SS Cufic ||,Sao Tome & Principe,Kpl Pemerintah,155,IMO 12382,QUU15724,31493,Lego,Sinar Abadi Textil,Claudiano Alves,Oepoli,Karimun Jawa,Sotirios Kyrgiakos,Qatar,,,,B,2,TNI,Kpl Pengebor/Drillship,
Sabotase,,07/01/2017,11:05,116.987456,-7.70498174,Laut Flores,"Emma Mærsk, container ship for Maersk Line",Anguilla,Supply Ship,229,IMO 88169,MNN222614,46379,Layar,PT. Jabeny Logistics,Marcio Souza,amahaii,Teminabuan,Jrme Rothen,Mexico,,,,C,5,Bakamla,Kpl Militer,
Sabotase,,29/04/2015,23:30,111.33836,-3.65716,Laut Jawa,MV Monchegorsk,Honduras,Kpl Derek/Crane,161,IMO 89368,XQZ241025,51618,Layar,PT. Kereta Api Logistik,Bonai,Ambalau,Cilacap,Samir Nasri,Rwanda,,,,F,2,KKP,Tanker,
Sabotase,,27/07/2015,16:15,131.4305064,1.99779387,Laut Halmahera,Seabulk Pride,Mauritania,Tanker,228,IMO 72447,UZY9620,32886,Lego,PT. Kharisma Tekad Karya,Windrati,Sluke,Bintuhan/Linau,Aidan Gould,Thailand,,,,D,4,Bea Cukai,Kpl Ikan,
Sabotase,,07/02/2019,11:10,109.76539,-4.02157,Laut Jawa,MV Ancylus,Lesotho,Tug Boat/Kpl Tunda,244,IMO 22223,UEB13154,65447,Layar,PT. Dino Logistics Perkasa,Iraizoz,Pekanbaru,Daruba,Kpler Laveran Lima,India,,,,C,6,Polri,Tanker,
Sabotase,,17/05/2014,06:50,106.88229,-5.46007,Laut Jawa,MV Ascension,Gabon,Penumpang,235,IMO 74453,TVY262516,66496,Sandar,PT. Hero Super Market ,Nikki Bagaporo,Gorom,Sei Kolak Kijang,Giuliani,Poland,,,,B,3,TNI AD,Kargo/Barang,
Sabotase,,23/03/2018,10:10,123.0208954,4.38684614,Laut Sulawesi,Hansa Carrier,Uruguay,Kpl Nelayan,171,IMO 24225,TLO141117,99688,Sandar,PT. Satria Antaran Prima,Slobodan Medojevi,Kuala Enok,Meulaboh,Talabani,Guinea,,,,D,6,TNI AU,Kpl Pemadam Kebakaran/Fireboat,
Sabotase,,14/07/2016,22:40,108.3184,-4.45741,Laut Jawa,MSC Carmen,Singapore,Kpl Derek/Crane,160,IMO 19268,UXL13234,72462,Layar,Bintang Terang,Wreyford Norrish,Marore,Nusa Penida (Toyapakeh),Trio Kwek,Mongolia,,,,C,2,Bea Cukai,Kpl Peti Kemas/Container,
