kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Survei Hidros Ilegal,,27/10/2017,21:45,122.9009719,2.58986591,Laut Sulawesi,MSC Carmen,Cambodia,Speed Boat,190,IMO 42399,RCA172521,82673,Layar,PT. Bahtera Dunia Pratama,Saura Nula,Hatu Piru,Kobisadar,Makoto Hasebe,Portugal,,,,F,2,TNI AL,Kargo/Barang,
Survei Hidros Ilegal,,01/03/2018,13:10,120.7501814,3.41855164,Laut Sulawesi,USS Appanoose (AK-226),Chad,Kpl Peti Kemas/Container,100,IMO 89942,ZAZ18424,93845,Lego,PT. Tata Kelola Mandiri,Taiwo,Selat Panjang,Siuban,Vinarosa Sigarlaki,Israel,,,,B,6,TNI AD,Kpl Selam,
Survei Hidros Ilegal,,05/06/2019,02:05,120.7505259,3.47099017,Laut Sulawesi,MV Empire MacMahon,Czech Republic,Kpl Pemadam Kebakaran/Fireboat,199,IMO 86752,QVT4913,52384,Sandar,PT. Mirantha Nuansa Ayu,Sherina Munaf,Sampit,Dofa,Dovbnya,Algeria,,,,A,5,Bea Cukai,Supply Ship,
Survei Hidros Ilegal,,04/07/2017,08:10,109.20656,-3.84801,Laut Jawa,LT Cortesia,Laos,Tongkang,242,IMO 23519,OUW211022,12952,Lego,Perusahaan Umum (Perum) Damri,Saracco,Essang,Kepulauan Seribu,Burkovetskiy,Sao Tome & Principe,,,,E,5,TNI,Survey/Kpl Survei,
Survei Hidros Ilegal,,17/03/2018,11:15,133.7280344,0.8884909,Laut Halmahera,MV Cristina A,Haiti,Tanker,102,IMO 46622,CXP13313,57799,Lego,PT. Suryana Istana Pasundan,Lukather,Merauke,Darume,Millane Fernandez,United States,,,,F,3,Bea Cukai,Kpl Ikan,
Survei Hidros Ilegal,,26/08/2017,12:10,129.8263223,1.82966434,Laut Halmahera,MV Monchegorsk,Guam,Bulker/Kpl Pengangkut Barang Curah,114,IMO 96589,VSA202118,78687,Lego,PT. Pusaka Cakra,Ribair Rodrguez,Dabo Singkep,Kupang,Haddad Alwi,Cayman Is.,,,,D,4,TNI AU,Kpl Ro-Ro,
Survei Hidros Ilegal,,29/08/2016,15:55,119.0140009,-7.81240505,Laut Flores,"Gudrun Mærsk, container ship for Maersk Line",Monaco,Tanker,247,IMO 71462,KAR162611,94653,Sandar,Perusahaan Umum (Perum) Damri,Sigurjn's Friends,Gudang Arang,Maidi,Geary,Luxembourg,,,,E,6,TNI AD,Penumpang,
Survei Hidros Ilegal,,26/11/2019,09:15,116.9769708,-6.7756425,Laut Flores,CMA CGM Vela,Gabon,Kpl Pesiar,199,IMO 64161,IIN131010,13425,Sandar,PD. Elang Jaya,Anthony Annan,Segun,Merauke,William Gallas,Czech Republic,,,,E,5,TNI,Kpl Ro-Ro,
Survei Hidros Ilegal,,01/04/2014,00:40,121.3030073,2.54952359,Laut Sulawesi,SS Bovic,Israel,Supply Ship,192,IMO 65237,GBR22414,29722,Lego,PT. Garuda Tama Indonesia,Aimee Juliette,Kaimana,Teluk Sigintung/Seruyan,Roberto Pereyra,Croatia,,,,E,2,TNI,Kpl Derek/Crane,
Survei Hidros Ilegal,,26/04/2017,08:20,117.8706845,-7.17242859,Laut Flores,SS Afric,Lesotho,Kpl Militer,146,IMO 24617,QUR9626,25393,Layar,"Koperasi Pegawai PT. Indosat, Tbk",Bon Jovi,Kesui,Malili (Sungai),Abdul Aziz Al,Mozambique,,,,C,2,Bakamla,Kargo/Barang,
Survei Hidros Ilegal,,30/04/2017,15:05,121.4443962,2.54775771,Laut Sulawesi,MV Craigantlet,The Gambia,Kargo/Barang,231,IMO 67141,YQV21917,87771,Sandar,PT. Lion Express,Floro,Subi,Serongga,Capron,Armenia,,,,F,3,TNI AU,Kpl Pemadam Kebakaran/Fireboat,
Survei Hidros Ilegal,,13/03/2018,20:00,110.07124,-4.90378,Laut Jawa,CMA CGM Medea,Egypt,Kpl Selam,230,IMO 32712,BMO241926,66497,Sandar,"PT. Wicaksana Overseas International, Tbk",Sapardi Djoko,Sanana,Bicoli,Reza Rahadian,Mexico,,,,B,1,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Survei Hidros Ilegal,,01/10/2017,22:40,120.5379253,3.01538507,Laut Sulawesi,USS Appanoose (AK-226),Vietnam,Tanker,245,IMO 52657,YRU894,17466,Lego,PT. Buana Tirta,Townes,Karang Agung,Reo,Sepp,Myanmar,,,,A,1,Bea Cukai,Survey/Kpl Survei,
Survei Hidros Ilegal,,05/06/2017,12:15,124.9755873,-5.18899639,Laut Banda,MS Costa Marina,Honduras,Kpl Militer,143,IMO 39718,JVX61312,29828,Sandar,PT. Lintas Nusa Ekspress,Theodoor Herman de Meester,Amamapare,Loseng,Vivienne,Uzbekistan,,,,A,3,TNI,Kpl Layar,
Survei Hidros Ilegal,,10/01/2017,00:35,124.8922883,-5.36677554,Laut Banda,SS Medic,Tonga,Kpl Pengeruk/Dredger,247,IMO 22541,CAP2718,38194,Layar,Yayasan Fajar Taruna Harmonis,Thelander,Fak-fak,Mansinam,Djoko Munandar,Iceland,,,,B,2,TNI AL,Kpl Pemerintah,
Survei Hidros Ilegal,,29/05/2014,16:15,130.4976818,-4.916826,Laut Banda,SS Runic ||,Western Sahara,Speed Boat,176,IMO 11241,XAH62625,18838,Layar,PT. Lingga Pos Kirimcepat,Purnomo Syamsuddin,Kabare,Banjarmasin,Fenny Anastasia,Swaziland,,,,C,4,Bea Cukai,Kpl Layar,
