kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
Tindak Terror di Laut,Level 2,21/07/2018,02:30,110.82257,-4.55982,Laut Jawa,U-Sea Saskatchewan,Algeria,Kpl Ro-Ro,113,IMO 37456,ODA11207,51627,Lego,CV. Graha Multi Sarana,Salvador Laurel,Giliketapang,Geser,David Henrie,Spain,,,,E,1,TNI AL,Kpl Pesiar,
Tindak Terror di Laut,Level 6,18/12/2018,05:25,117.157136,-6.82912242,Laut Flores,MV Vikartindur,Marshall Is.,Kpl Layar,134,IMO 86711,VVM81112,97423,Lego,PT. Tunas Sejahtera Logistics,Frida Kahlo,Yenggarbun,Muara Padang,Ju Corrigan,United Kingdom,,,,F,6,TNI,Kpl Ro-Ro,
Tindak Terror di Laut,Level 8,23/08/2019,07:40,122.9093126,4.32795665,Laut Sulawesi,USS Alkes (AK-110),Tunisia,Kpl Nelayan,153,IMO 11264,GFU10723,81665,Sandar,PT. Jala Sutera Indoraya,Yono Daryono,Belitung,Ende,Madhava,Brunei,,,,B,1,Bea Cukai,Kpl Militer,
Tindak Terror di Laut,Level 9,23/01/2017,14:55,119.5654035,-7.29529879,Laut Flores,Aranui 3,Israel,Bulker/Kpl Pengangkut Barang Curah,221,IMO 78548,GAR21256,68982,Sandar,Yayasan Fajar Taruna Harmonis,Bagus Ade Chandra,Eci,Idi,John Glen,Jamaica,,,,F,2,KKP,Tanker,
Tindak Terror di Laut,Level 3,15/08/2015,11:00,108.76148,-3.77859,Laut Jawa,SS Belgic ||||,United States,Kpl Peti Kemas/Container,228,IMO 81862,EMU52211,25243,Lego,PT. Rekha Trans Utama,Than Shwe,Tanjung Sidupa,Geser,Ibrahim Imran,Uruguay,,,,A,4,Bea Cukai,Tug Boat/Kpl Tunda,
Tindak Terror di Laut,Level 3,02/06/2014,03:50,119.9972053,-7.90251404,Laut Flores,SS Bovic,San Marino,Kpl Layar,237,IMO 55518,XGD41112,36423,Sandar,PT. Rush Cargo Nusantara,Syamsul,Hatu Piru,Elat,M. Hendropriyono,Mauritania,,,,A,2,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Tindak Terror di Laut,Level 7,21/03/2018,02:10,117.7263884,-6.62608122,Laut Flores,USS Arkab (AK-130),Madagascar,Kpl Pemerintah,205,IMO 16217,MWU18424,93559,Sandar,PT. Suryana Istana Pasundan,Steve Irwin,Tikong,Geser,San Martn,Honduras,,,,B,1,Bea Cukai,Tongkang,
Tindak Terror di Laut,Level 3,08/04/2019,15:30,123.1477992,2.32382019,Laut Sulawesi,MV Cristina A,Indonesia,Kpl Ikan,219,IMO 84424,YKS51610,28938,Layar,PT. Gema Lintas Semesta,Fariz Rustam Munaf,Pulau Salura,Seget,Ieyasu,Virgin Is.,,,,A,3,Bakamla,Kpl Pengebor/Drillship,
Tindak Terror di Laut,Level 1,19/07/2016,12:25,118.5831658,-6.44030171,Laut Flores,Sitakund,Barbados,Kpl Peti Kemas/Container,181,IMO 36761,XZS1556,33531,Lego,PT. Bermuda Mandiri Brilian,Fouad Rachid,Dumai,Kuala Gaung,Aji Muhammad Salehuddin,Swaziland,,,,A,2,TNI,Tongkang,
Tindak Terror di Laut,Level 3,19/10/2018,09:35,133.3347367,1.49506328,Laut Halmahera,Maritime Jewel,Marshall Is.,Kpl Pemerintah,132,IMO 62719,NDW111611,81473,Lego,PT. Makis Indonesia Utama,Getlio,Wendesi,Malenge,Leland Harrison Hartwell,Norway,,,,F,3,TNI AU,Kpl Pemerintah,
Tindak Terror di Laut,Level 7,19/01/2017,07:55,118.3569167,-7.22605794,Laut Flores,MS Stolt Surf,Namibia,Kpl Derek/Crane,163,IMO 82143,QWM102421,67584,Lego,"PT. Regal Integra Makmur, Tbk",Ron Robert Zieler,Popolii,Gorontalo,Godart,Guyana,,,,C,1,Polri,Speed Boat,
Tindak Terror di Laut,Level 7,23/10/2015,08:40,127.5409366,-5.85141355,Laut Banda,Olga Mærsk (1948),Vanuatu,Kpl Layar,178,IMO 87645,UGJ72624,72611,Layar,PT. Uni Logistik Indonesia,Sofiane,Soasio/Goto,Tanjung Berakit,Mitchell te Vrede,French Southern & Antarctic Lands,,,,A,3,TNI AL,Tug Boat/Kpl Tunda,
Tindak Terror di Laut,Level 2,21/12/2015,22:45,126.9484341,-5.08864449,Laut Banda,MV Gadila,Yemen,Tug Boat/Kpl Tunda,192,IMO 33155,XAN241020,19876,Layar,PT. Rekakurir Eka Dharma,Esten,Wayaua,Pulang Pisau,Doroshenko,Niue,,,,F,4,TNI AU,Penumpang,
Tindak Terror di Laut,Level 1,27/02/2018,14:10,117.688913,-7.90495518,Laut Flores,COSCO Guangzhou,Namibia,Penumpang,134,IMO 97389,LID22231,87245,Sandar,PT. Fam Logistik Distribusi,Farida Arriany,Mesuji/Lampung,Bawean,Ussher,British Indian Ocean Territory,,,,C,2,Bea Cukai,Supply Ship,
Tindak Terror di Laut,Level 3,15/07/2014,06:50,120.5978258,3.4899573,Laut Sulawesi,SS Belgic ||||,Senegal,Kpl Pemadam Kebakaran/Fireboat,196,IMO 17383,FNB171423,48153,Sandar,PT. Rajawali Dirgantara Indonesia Express,Aslanbek Konov,Tanjung Santan,P. Kalukalukuang,Shareefa,Turkmenistan,,,,A,4,Bakamla,Kpl Pengeruk/Dredger,
Tindak Terror di Laut,Level 2,13/10/2018,01:20,117.3163495,-7.42005944,Laut Flores,"Houston Express, container ship for Hapag-Lloyd line",San Marino,Kpl Penyelamat/Lifeboat,173,IMO 31752,PVC2477,39741,Sandar,PT. Lintas Nusa Ekspress,Richard Holbrooke,Wulandoni,Pulau Salura,Tesela,Mauritius,,,,D,4,Bakamla,Kpl Peti Kemas/Container,
Tindak Terror di Laut,Level 9,22/05/2018,23:05,135.226042,1.61723095,Laut Halmahera,Biruinta,Russia,Supply Ship,207,IMO 55168,LKO17912,49892,Lego,PT. Jalan Baru Jalan,Gennadyevich Kuzmin,Bagan siapi-api,Essang,Endang S.,Switzerland,,,,B,5,Bea Cukai,Bulker/Kpl Pengangkut Barang Curah,
Tindak Terror di Laut,Level 7,17/03/2015,19:05,128.106158,-6.11859402,Laut Banda,SS Cufic ||,Madagascar,Speed Boat,185,IMO 76585,AHD17174,32223,Layar,PT. Three Global Pratama Indonesia,Mike Helton,Panarukan,Fak-fak,Adnan Menderes,"Congo, DRC",,,,F,3,TNI,Kpl Pemadam Kebakaran/Fireboat,
Tindak Terror di Laut,Level 9,15/04/2016,17:55,124.8921829,-5.76170898,Laut Banda,USS Alkes (AK-110),Russia,Kpl Ikan,174,IMO 29891,DUB21719,77319,Sandar,PT. Jabeny Logistics,Patrick Swayze,Mangarang,Parigi,Morgan Lily,New Caledonia,,,,A,2,TNI AD,Kargo/Barang,
Tindak Terror di Laut,Level 8,07/06/2016,21:00,131.0161316,1.71645476,Laut Halmahera,MV Ranga,Uzbekistan,Bulker/Kpl Pengangkut Barang Curah,218,IMO 33151,ECZ12410,67287,Layar,PT. Teha Multi Solution,Haggui,Maloy,Geser,Rita Wilson,Gibraltar,,,,E,5,Bakamla,Kpl Selam,
Tindak Terror di Laut,Level 9,11/02/2015,11:30,117.7093014,-7.43040562,Laut Flores,Shuttle tanker,Ethiopia,Kpl Pesiar,243,IMO 66148,SPO131511,15678,Lego,PT. Sinar Usaha Cemerlang,Grigol,Teluk Melano/Teluk Batang,Batu Enam,John Michael,United States,,,,C,4,TNI,Survey/Kpl Survei,
Tindak Terror di Laut,Level 2,21/03/2018,04:20,106.95964,-5.7258,Laut Jawa,MV Karen Danielsen,Russia,Kpl Ro-Ro,134,IMO 87711,AZV16148,43331,Layar,CV. Deline Asia,Thibaut Courtois,Batang,Rembang,Abd.Rahim Arsyad,India,,,,F,6,Bakamla,Kpl Pengebor/Drillship,
Tindak Terror di Laut,Level 1,03/12/2017,06:50,128.2967307,-5.16438409,Laut Banda,Savannah Express,Jamaica,Kpl Penyelamat/Lifeboat,242,IMO 79521,YMX192316,64484,Sandar,PT. Fama Persada,Kemal Gani,Molawe,Matutuang,Jaap Stam,Vietnam,,,,D,6,KKP,Kpl Selam,
Tindak Terror di Laut,Level 9,25/09/2015,16:00,133.9343839,0.18391094,Laut Halmahera,USS Arkab (AK-130),Dominica,Kpl Pemadam Kebakaran/Fireboat,248,IMO 37869,WME21511,63283,Lego,PT. Api Biru Nusantara,Shireen Sungkar,Sinaboi,Panipahan,Jean Pascal,Guinea-Bissau,,,,C,3,TNI AD,Kpl Pengebor/Drillship,
Tindak Terror di Laut,Level 8,07/01/2018,18:40,110.91918,-5.58791,Laut Jawa,MV eut Strait (T-AK-W9519),Christmas I.,Kpl Peti Kemas/Container,167,IMO 61173,YRI15526,65468,Lego,PT. Tata Kelola Mandiri,Tamura,Ende,Giliketapang,Mashri,Vietnam,,,,B,4,Bea Cukai,Tongkang,
Tindak Terror di Laut,Level 1,25/01/2019,06:45,108.16851,-5.84081,Laut Jawa,Histria Azure,Sierra Leone,Penumpang,156,IMO 45595,LZR131215,93628,Sandar,PT. Catur Ekapurcanga Indah,Clinton Hart Merriam,Sanana,Sofifi,Jens Toornstra,Latvia,,,,C,5,Polri,Kpl Nelayan,
Tindak Terror di Laut,Level 6,11/01/2018,07:45,121.1288827,3.18941933,Laut Sulawesi,Biruinta,Kiribati,Kpl Nelayan,121,IMO 12934,WJR1323,96476,Lego,PT. Wira Andalan Sukses,Kabor,Tanjung Sidupa,Buhias,Sankoh,Guatemala,,,,B,5,TNI,Supply Ship,
