kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
TKI Ilegal,,30/07/2018,08:20,120.0472199,-7.52568559,Laut Flores,SS Bandirma,Tuvalu,Supply Ship,190,IMO 32441,PEP162211,95926,Sandar,PD. Maslahat,Ditta Amahorseya,Calang,Gorontalo,Bill Nighy,Netherlands,,,,C,3,TNI,Bulker/Kpl Pengangkut Barang Curah,
TKI Ilegal,,02/09/2015,10:00,118.0978399,-7.53171951,Laut Flores,MT Haven,Ireland,Kpl Layar,164,IMO 91195,JMX7173,34985,Layar,Asuransi Jiwa Bumi Putra 1912,Applebaum,Sadai,Sunda Kelapa,Rosamund,Nauru,,,,E,3,TNI,Kpl Pengebor/Drillship,
TKI Ilegal,,27/01/2014,08:05,118.9137644,-7.6000299,Laut Flores,SS Medic,Laos,Kpl Layar,216,IMO 29343,PHJ231511,54599,Layar,PT. Bank Nisp,Fabiaski,Kertapati,Pegatan Mendawai,Agyemang-Badu,Andorra,,,,E,4,TNI AL,Kpl Penyelamat/Lifeboat,
TKI Ilegal,,27/01/2017,00:25,122.4596177,3.68506923,Laut Sulawesi,MV Stolt Strength,Oman,Kpl Nelayan,162,IMO 29465,ADQ535,51373,Layar,PT. Pesan Delivery Indonesia,Pelipur,Amurang,Tanjung Pura,Pablo Nicols Urdangarn,Equatorial Guinea,,,,E,6,Bakamla,Kpl Peti Kemas/Container,
TKI Ilegal,,25/04/2014,20:05,122.9980849,2.87194178,Laut Sulawesi,"TSS Golfito, banana boat of Fyffes Line",South Korea,Penumpang,238,IMO 35314,VEU122013,74288,Lego,PT. Rekakurir Eka Dharma,Rani Mukerji,Baa,Ilwaki,Maynard,Portugal,,,,F,1,Polri,Kpl Penyelamat/Lifeboat,
TKI Ilegal,,15/02/2015,22:05,135.9055526,0.66121255,Laut Halmahera,MSC Napoli,Falkland Is.,Supply Ship,224,IMO 16917,NRI14193,84687,Layar,PT. Bahtera Dunia Pratama,Bernd Schneider,Tilamuta,Papela,Ryansyah,Tuvalu,,,,C,1,KKP,Supply Ship,
TKI Ilegal,,27/12/2018,06:50,116.8422957,-6.74059679,Laut Flores,Biruinta,Jordan,Kpl Pemerintah,120,IMO 58173,CYI131813,42453,Lego,PT. Makis Indonesia Utama,Antipov,Kuala Langsa,Tana Paser/Pondong,Sriewijono,Mali,,,,D,4,Bakamla,Tanker,
TKI Ilegal,,12/02/2016,17:40,129.9362925,-5.0173296,Laut Banda,SS vedic,Heard I. & McDonald Is.,Supply Ship,165,IMO 46149,UHG25112,11986,Sandar,CV. Dwijaya Makmur,Thomas Meiner,Dawera/Dawelor,Tanjung Uban / Teluk Sasah,Karan,Cayman Is.,,,,F,1,Bakamla,Survey/Kpl Survei,
TKI Ilegal,,20/11/2019,22:40,131.3697425,0.3492915,Laut Halmahera,Salem,Norway,Kpl Pemerintah,152,IMO 46931,TUI20817,16537,Lego,PT. Hero Super Market ,Romanenko,Balauring,Buhias,Cees ten,Mali,,,,B,2,TNI AU,Kpl Pemerintah,
TKI Ilegal,,07/10/2015,08:00,119.028643,-6.94992268,Laut Flores,MV Empire MacColl,El Salvador,Tanker,113,IMO 93578,LRC1196,12952,Lego,PT. Hero Super Market ,Cristian Llama,P. Kalukalukuang,Bere - Bere,Kristania,Guyana,,,,B,5,TNI AD,Speed Boat,
