kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap,deskripsi
IUU Fishing,,30/06/2014,20:15,126.3112041,-6.35610207,Laut Banda,USS Alkes (AK-110),New Zealand,Kpl Ro-Ro,183,IMO 67512,ADF152618,85562,Layar,"PT. Wicaksana Overseas International, Tbk",Hal Robson-Kanu,Kuala Tanjung,Lahewa,Gueda Fofana,United States,,,,C,4,Bea Cukai,Kpl Ikan,
IUU Fishing,,23/10/2014,17:30,121.0704774,4.0449962,Laut Sulawesi,MV Ascension,Honduras,Kpl Pemadam Kebakaran/Fireboat,219,IMO 22546,LJK12269,78321,Sandar,PT. Jaha Buana Lestari,Al Mashri,Dama,Sibolga,Nojus Bartaka,Oman,,,,D,3,Bakamla,Penumpang,
IUU Fishing,,08/05/2016,14:35,134.8436681,1.97030347,Laut Halmahera,SS Delphic,Sao Tome & Principe,Kpl Ro-Ro,226,IMO 32471,ZIF122023,44429,Layar,CV. Pascal Delta Prima,Nstor,Kotiti,amahaii,Kritsyuk,Cambodia,,,,C,6,TNI AD,Kpl Derek/Crane,
IUU Fishing,,13/04/2014,15:00,129.7422111,-4.95172269,Laut Banda,NYK Vega,Tunisia,Kpl Selam,164,IMO 37465,ESQ15320,26725,Sandar,PT. Alfindo Trans Courier,Peter Courtland,Tanjung Moco,Moru,Sunario Sastrowardoyo,Serbia,,,,E,4,TNI AU,Tug Boat/Kpl Tunda,
IUU Fishing,,28/03/2019,17:45,128.3688365,-6.55628246,Laut Banda,Torben Spirit,Guinea-Bissau,Kpl Ikan,203,IMO 55124,ZUG62217,25952,Layar,PT. Nafastindo Trans Logistik,Akhmetzyanov,Labuhan Haji,Falabisahaya,Naim M. Anik,Finland,,,,A,6,TNI AU,Kpl Kayu,
IUU Fishing,,20/05/2017,16:30,118.3450943,-7.66242522,Laut Flores,SS Desabla,Thailand,Tug Boat/Kpl Tunda,173,IMO 67389,XOW6810,24549,Sandar,PT. Mitra Utama Sejahtera Logistik,Todosey,Tanjung Pandan,Geser,Oslan,Brazil,,,,A,1,Bea Cukai,Survey/Kpl Survei,
IUU Fishing,,15/05/2016,21:15,138.4320518,1.1008633,Laut Halmahera,CMA CGM Vela,Cayman Is.,Kpl Derek/Crane,163,IMO 28121,SDU8117,72913,Lego,PT. Jaya Mitra Makmur,Petri,Lhok Tuan,Sei Berombang,Ariya,Barbados,,,,E,6,TNI,Survey/Kpl Survei,
IUU Fishing,,07/10/2018,22:40,116.7974765,-7.6399975,Laut Flores,MV Empire MacMahon,Marshall Is.,Supply Ship,178,IMO 91696,OZK51124,41852,Layar,CV. Graha Multi Sarana,Ahmad Syadali,Paniti,Tobilota,Muhammad Yunus,Guinea-Bissau,,,,E,3,Bea Cukai,Kpl Ro-Ro,
IUU Fishing,,08/01/2019,21:50,119.0001454,-7.80139126,Laut Flores,MV Resolution Bay,Venezuela,Kpl Pengeruk/Dredger,166,IMO 49438,ARC101022,65849,Lego,PT. Lintas Expressindo Nusantara,Djakfar Achmad,Mangarang,Ilwaki,V. Luce,Cocos Is.,,,,C,3,Bea Cukai,Penumpang,
IUU Fishing,,23/01/2018,02:05,120.4758303,3.01936104,Laut Sulawesi,SS Tropic,Austria,Speed Boat,200,IMO 46637,ZXL3313,83239,Lego,PT. Bhanda Ghara Reksa (Persero),Sangay Choden,Muara Padang,Pangandaran,Linda Djalil,Bangladesh,,,,F,1,TNI AL,Survey/Kpl Survei,
IUU Fishing,,09/06/2018,06:45,121.2780033,3.8098275,Laut Sulawesi,MV Capt. Steven L. Bennett (T-AK-4296),Guinea-Bissau,Tug Boat/Kpl Tunda,109,IMO 96655,KLQ181323,58565,Layar,PT. Sayap Biru Ekspres,Ziauddin Ahmed,Inawatan,Mandopolo/Jojame,Ditmar,The Gambia,,,,B,5,TNI,Kpl Ro-Ro,
IUU Fishing,,03/10/2014,14:50,119.450491,-6.98372572,Laut Flores,MV Mairangi Bay,Hungary,Kpl Pemerintah,181,IMO 34595,ILT212516,43867,Lego,PT. Bermuda Mandiri Brilian,Mulya,Sigli,Kendawangan,Saosin,Bangladesh,,,,C,1,TNI,Bulker/Kpl Pengangkut Barang Curah,
IUU Fishing,,21/12/2016,10:00,130.3454883,-6.8263326,Laut Banda,USS Ascella (AK-137),Togo,Kpl Kayu,111,IMO 59622,IOR7321,12339,Sandar,PT. Nusantara Ekspress,Marmaduke Pickthall,Damar,Tifure,Hideaki Takizawa,Eritrea,,,,E,6,TNI AL,Kpl Pengeruk/Dredger,
IUU Fishing,,13/11/2018,17:55,118.6082162,-6.92438748,Laut Flores,"SS Gallina, LNG Tanker",Spain,Kpl Pesiar,148,IMO 37934,USA1797,18151,Lego,PT. Ekspres Sistem Indonesia,Alfredo Di,Dumai,Dofa,Kagawa,Uganda,,,,C,3,Bakamla,Penumpang,
IUU Fishing,,26/06/2015,02:35,107.46169,-3.632,Laut Jawa,SS Gallic,Costa Rica,Kpl Pemadam Kebakaran/Fireboat,187,IMO 89313,LQT16199,55999,Lego,PT. Global Artha Abadi,Steve Reeves,Elat,Pare-Pare,Tini,Thailand,,,,E,2,Bea Cukai,Supply Ship,
IUU Fishing,,14/12/2015,18:40,128.6304637,-6.3436569,Laut Banda,MV Empire MacCabe,Bhutan,Kpl Selam,223,IMO 31779,KZP92321,51199,Sandar,PD. Maslahat,Michael Franks,Waisai,Dobo,Innocenzo Ciocchi,Peru,,,,F,4,TNI AL,Penumpang,
IUU Fishing,,05/04/2014,09:50,136.9532835,2.32341673,Laut Halmahera,MV Mairangi Bay,Togo,Tongkang,139,IMO 17918,OIQ23235,55261,Layar,"Koperasi Pegawai PT. Indosat, Tbk",Raihaanun,Malili (Sungai),Bayun,Jay Brannan,China,,,,F,1,Polri,Penumpang,
IUU Fishing,,28/09/2014,01:55,132.9013035,1.99044087,Laut Halmahera,"Umm Slal, LNG Tanker",Cote d'Ivoire,Kpl Kayu,189,IMO 17616,USP251510,59311,Lego,PT. Dakota Lintas Buana,Marshanda,Mantangisi,Jeneponto,Paolo Castellini,Marshall Is.,,,,A,4,TNI,Survey/Kpl Survei,
IUU Fishing,,31/08/2018,06:50,116.9830777,-7.019092,Laut Flores,MV Resolution Bay,Uruguay,Kpl Ro-Ro,169,IMO 92698,JVX25313,97257,Sandar,PT. Makis Indonesia Utama,Roman Pavlyuchenko,Kasipute,Kota Agung,Jerzy,Norfolk I.,,,,C,1,Bea Cukai,Kpl Layar,
IUU Fishing,,09/08/2018,12:20,124.2433895,3.04618498,Laut Sulawesi,"Umm Laqhab, LPG Tanker",French Polynesia,Penumpang,179,IMO 98283,FES14516,83166,Layar,PT. Trans Anugrah Logistik,Marcellina,Matasiri,Miangas,Shahbaz Bhatti,Angola,,,,C,2,Polri,Tongkang,
IUU Fishing,,13/01/2018,23:35,116.6678359,-7.74418967,Laut Flores,MV Jindal Kamakshi,Congo,Kpl Pemerintah,113,IMO 68341,DQJ10119,61688,Lego,Berdikari,Ziauddin,Calang,Taniwel,Vilayanur S.,Singapore,,,,E,5,TNI AL,Kpl Pengeruk/Dredger,
IUU Fishing,,23/06/2016,03:35,128.5228031,-5.04755719,Laut Banda,USS Allioth (AK-109),San Marino,Kargo/Barang,108,IMO 17526,OUQ1159,42644,Lego,PT. Elnusa Petrofin,Taslima,Daruba,Sungsang,Ivan Gaparovi,Netherlands Antilles,,,,F,3,TNI,Kpl Ikan,
IUU Fishing,,12/09/2015,13:45,134.0490264,1.37499286,Laut Halmahera,MS Antenor,Mongolia,Kpl Ikan,155,IMO 79397,HTH101418,77992,Lego,Sigma Net,Kang In,Geser,Dabo Singkep,Jalaluddin Thaib,Laos,,,,E,3,Bakamla,Kpl Pemadam Kebakaran/Fireboat,
IUU Fishing,,01/10/2017,10:20,116.5232877,-7.41000067,Laut Flores,SS Tropic,Ukraine,Kpl Layar,225,IMO 17616,NUI182413,14536,Layar,PT. Indonusa Putra Mandiri,Egal,Idi,Pasuruan,Ioannis,Dominican Republic,,,,A,1,TNI AD,Kpl Penyelamat/Lifeboat,
IUU Fishing,,11/03/2017,09:20,116.6849195,-7.50210636,Laut Flores,MT Sidsel Knutsen,Guam,Tanker,168,IMO 69966,LSM31914,79157,Lego,PT. Titipan Varaz Ekspres,Schlutt,Lahewa,Hila/Romang,Brandon Mychal,Cape Verde,,,,E,4,KKP,Tongkang,
IUU Fishing,,11/02/2016,11:35,110.19219,-6.06187,Laut Jawa,SS Suevic,South Korea,Supply Ship,187,IMO 96469,CXO2514,49461,Lego,PT. Sinar Anugerah Eka,Yuji,Amurang,Jayapura,Jetti Rosila Hadi,Azerbaijan,,,,C,6,Bea Cukai,Kpl Peti Kemas/Container,
IUU Fishing,,14/09/2016,01:45,130.0185708,-5.93053227,Laut Banda,MSC Nuria,Congo,Tanker,133,IMO 15857,CXD72021,32714,Layar,PT. Ekspresku Internasional Logistik,Lehn,Mega,Pangkalan Brandan,Nawaz,Paraguay,,,,D,1,TNI AL,Kpl Ro-Ro,
IUU Fishing,,17/01/2014,01:10,122.8023319,2.93211478,Laut Sulawesi,MV DenDen,Spain,Tongkang,139,IMO 34723,QNJ232210,81785,Layar,PT. Ahner Adhi Perkara,Kobayashi,Ujung Jampea,Molawe,Ruth Marshall,Singapore,,,,A,3,Bakamla,Kpl Penyelamat/Lifeboat,
IUU Fishing,,16/09/2019,23:20,118.2243573,-7.00298535,Laut Flores,Xin Los Angeles,Canada,Kpl Pemerintah,174,IMO 61254,YSP251512,36696,Lego,PT. Indopos Hasyim Ashari,Muhammad Nasir Djamil,Pulau Mules,Wayabula/Posi-Posi,Utari,Philippines,,,,D,1,TNI AD,Kpl Militer,
IUU Fishing,,31/07/2019,05:05,135.6674988,0.14406429,Laut Halmahera,SS Runic,Montenegro,Kpl Peti Kemas/Container,173,IMO 87822,TFE15241,15191,Sandar,PT. Garuda Tama Indonesia,Hamidy T.,Tilamuta,Pulau Laut,Wojciech Pawowski,South Korea,,,,A,2,Bakamla,Kargo/Barang,
IUU Fishing,,01/04/2014,23:00,109.34605,-3.90284,Laut Jawa,MS Antenor,St. Kitts & Nevis,Kargo/Barang,247,IMO 99521,LKZ3231,55421,Layar,PT. Biro Grata Mandiri,Iaquinta,Budong-Budong,Pemenang,Elviana,Mexico,,,,A,3,Polri,Kpl Peti Kemas/Container,
IUU Fishing,,12/06/2017,10:35,127.1526142,-4.81914432,Laut Banda,USS Alkes (AK-110),Ecuador,Kpl Pengebor/Drillship,244,IMO 81929,YEV172413,32291,Layar,Dua Saudara,Cahya,Gorom,Dabo Singkep,Markku,Romania,,,,D,3,TNI,Kpl Pengebor/Drillship,
IUU Fishing,,21/11/2018,09:55,128.3731685,-5.20389427,Laut Banda,MSC Sabrina,Cuba,Tug Boat/Kpl Tunda,200,IMO 16191,EBU161026,63597,Sandar,Kharisma Abadi,Mariusz Jop,Falabisahaya,Malili (Sungai),Zukhriatul Hafizah,St. Pierre & Miquelon,,,,F,1,KKP,Penumpang,
IUU Fishing,,03/03/2017,18:15,123.1877912,2.3263642,Laut Sulawesi,MCP Altona,Zimbabwe,Kpl Pesiar,209,IMO 72216,GCX262617,17687,Sandar,PT. Catur Ekapurcanga Indah,Tuhuteru,Paloh/Sakura,Air Buaya,Bas Leinders,Kuwait,,,,C,4,TNI AD,Kpl Kayu,
IUU Fishing,,30/11/2014,16:10,117.1092496,-7.36348445,Laut Flores,USS Albireo (AK-90),Latvia,Tongkang,223,IMO 92198,ZTR231720,35453,Layar,Sinar Abadi Textil,Vadim Demidov,Dawera/Dawelor,Sukabangun Ketapang,Sebastio,Lithuania,,,,A,3,TNI,Speed Boat,
IUU Fishing,,09/10/2019,12:30,128.8562706,-4.42554015,Laut Banda,SS Desabla,Peru,Speed Boat,103,IMO 62141,XNP111511,43848,Lego,PT. Kharisma Tekad Karya,Donny,Inawatan,Baa,Kayamba,Saudi Arabia,,,,A,1,Bea Cukai,Kpl Selam,
IUU Fishing,,02/09/2016,19:35,126.8627141,-5.87288434,Laut Banda,Sitakund,Hungary,Kpl Peti Kemas/Container,243,IMO 73336,EYO82318,16488,Layar,PT. Ben Sinergi Translogistik,Fridtjof Wedel-Jarlsberg Nansen,Bade,Babang,W. Wolters,Central African Republic,,,,F,5,Bakamla,Kpl Selam,
IUU Fishing,,02/02/2019,11:35,128.8873582,-5.69860738,Laut Banda,Quinquereme,India,Tongkang,183,IMO 52562,LKY72315,59888,Layar,PT. Tpal Ekspres Indonesia,Wieman,Benoa,Dawi-dawi,Cooke,Kazakhstan,,,,F,4,Bea Cukai,Kargo/Barang,
IUU Fishing,,09/09/2016,11:50,133.5566885,1.62031437,Laut Halmahera,MOL Enterprise,Kenya,Kpl Pengebor/Drillship,156,IMO 98489,TWD5511,68948,Layar,PT. Ahner Adhi Perkara,Yuriy Yekhanurov,Bagan siapi-api,Mahaleta,Feynman,Croatia,,,,A,3,Polri,Speed Boat,
IUU Fishing,,06/04/2019,20:55,124.1654203,3.02080722,Laut Sulawesi,MV Sirius Star,Chile,Kargo/Barang,130,IMO 73573,MLA221725,19653,Lego,PT. Tunas Antarnusa Muda Kargo (TAM CARGO),Fairbanks,Darume,Batang,Sultan Muhammad Jiwa,Moldova,,,,C,3,TNI AL,Kpl Ro-Ro,
IUU Fishing,,16/12/2017,17:15,109.41184,-3.62616,Laut Jawa,SS Tropic ||,South Korea,Tug Boat/Kpl Tunda,210,IMO 18623,WOI3137,29828,Sandar,PT. Sinar Usaha Cemerlang,Ruzaidin Noor,Tanjung Santan,Muara Baru,Zahavi,Montserrat,,,,B,6,TNI AL,Kpl Pengeruk/Dredger,
IUU Fishing,,15/06/2015,22:20,133.0716747,0.63262668,Laut Halmahera,MS Costa Allegra,British Indian Ocean Territory,Kpl Derek/Crane,128,IMO 42744,ICZ151322,41231,Sandar,CV. Geulis Indah,Goicuchea,Amurang,Saonek,Jerun Lumu,Central African Republic,,,,A,2,Bakamla,Kpl Pesiar,
IUU Fishing,,12/10/2015,17:45,110.48628,-6.06566,Laut Jawa,MV Karen Danielsen,Mauritius,Tanker,168,IMO 21995,KCR112320,91162,Lego,CV. Dwijaya Makmur,Daus Mini,Tarakan,Natal / Sikara-kara,Kunio Lemari,Tunisia,,,,F,3,TNI AD,Supply Ship,
IUU Fishing,,07/07/2019,18:50,134.9777179,0.40378046,Laut Halmahera,SS Arthur M. Anderson,Nicaragua,Kpl Peti Kemas/Container,104,IMO 26413,JLQ18114,14191,Lego,Toko Obat Bandung,Rabbuh Mansur,Garongkong,Kaledupa,Miyu,Afghanistan,,,,C,5,Bakamla,Kpl Kayu,
IUU Fishing,,10/08/2015,10:45,120.9073625,2.26506565,Laut Sulawesi,MV Tampa,Gabon,Kpl Selam,124,IMO 16583,DIM541,83763,Sandar,PT. Ekspresku Internasional Logistik,Matalatta,Kuala Tanjung,Saketa,Nadir ifti,India,,,,B,6,Polri,Kpl Pengebor/Drillship,
IUU Fishing,,26/03/2014,02:45,119.8458039,2.17154686,Laut Sulawesi,MV Empire MacMahon,Wallis & Futuna,Penumpang,248,IMO 22338,EXQ62311,18888,Lego,PT. Indah Yatama,Brad Falchuk,Dawera/Dawelor,Malakoni/P. Enggano,Rahardi,Maldives,,,,A,1,Bea Cukai,Kpl Penyelamat/Lifeboat,
IUU Fishing,,08/06/2016,22:00,117.0450619,-6.44198689,Laut Flores,SS vedic,Turks & Caicos Is.,Kargo/Barang,153,IMO 37467,HMU191219,38312,Lego,PT. Bank Nisp,Thomas Robert Cech,Tilamuta,Dumai,Rogers,Saudi Arabia,,,,A,4,TNI,Kpl Pengeruk/Dredger,
IUU Fishing,,01/06/2017,10:55,132.5761375,1.53271527,Laut Halmahera,MV Harpa,Nauru,Kpl Kayu,112,IMO 81276,XNJ7227,59837,Sandar,PD. Talindo,Michael Bambang Hartono,Palabuhanratu,Larat,Ashilla Zee,Belarus,,,,A,3,TNI AU,Kpl Pengebor/Drillship,
IUU Fishing,,02/03/2016,04:30,120.6147187,3.3213479,Laut Sulawesi,USS Appanoose (AK-226),Bosnia & Herzegovina,Kpl Militer,126,IMO 58713,KXS14237,42848,Lego,Berdikari,Kucharczyk,Teluk Tapang,Dapalan,Pedersen,Central African Republic,,,,A,4,Polri,Kpl Pengebor/Drillship,
IUU Fishing,,09/03/2019,12:10,130.0542586,0.22618073,Laut Halmahera,SS Mayaguez,Guadeloupe,Kpl Penyelamat/Lifeboat,233,IMO 26779,HEN201718,61783,Layar,PT. Ayucitra Mandiri,Marissa Christina,Dapalan,Amahai,Alatas,Greece,,,,A,4,TNI AD,Kpl Layar,
IUU Fishing,,19/05/2018,20:15,123.6230662,1.98240132,Laut Sulawesi,MV Amastra,Kyrgyzstan,Penumpang,221,IMO 91982,QJK1288,63655,Layar,Dua Saudara,Maxime Verhagen,Anyer Lor,Pelaihari/Swarangan,Sciucatti,French Guiana,,,,A,1,TNI,Kpl Derek/Crane,
IUU Fishing,,13/03/2014,02:45,133.2360246,1.7108644,Laut Halmahera,SS Fredericksburg,Maldives,Speed Boat,165,IMO 52543,FJC231213,46623,Layar,Asuransi Jiwa Bumi Putra 1912,Ruben Schaken,Marabatuan,Teluk Malala,Wout Brama,Tanzania,,,,E,6,TNI AL,Supply Ship,
IUU Fishing,,07/01/2014,05:25,123.9284875,3.24759182,Laut Sulawesi,SS Bardic,Sweden,Kpl Militer,162,IMO 63236,HHR158,94519,Sandar,PT. Indoguna Sarana Ekspress,Ilija,Kotabunan,Bagan siapi-api,Sjahdeini,Kyrgyzstan,,,,C,3,TNI AU,Kpl Pemerintah,
IUU Fishing,,15/03/2018,18:50,130.1897434,0.94783491,Laut Halmahera,Savannah Express,Guinea-Bissau,Kpl Layar,208,IMO 68156,QRK23111,32913,Lego,PT. Lintas Expressindo Nusantara,Babrak Karmal,Poom,Kayuadi,of God,The Bahamas,,,,C,2,TNI AL,Kpl Ro-Ro,
IUU Fishing,,05/12/2019,22:35,128.0120781,-4.86304804,Laut Banda,MV Delight,Algeria,Kargo/Barang,198,IMO 72631,JAF325,33852,Lego,PT. Sukma Bintang Surya,Shienny Megawati Sutanto,Menui,Depapre,Antoine Gizenga,Moldova,,,,A,3,Bakamla,Kpl Pemadam Kebakaran/Fireboat,
IUU Fishing,,12/05/2015,22:20,124.9718091,-4.81351614,Laut Banda,LT Cortesia,Angola,Kpl Layar,113,IMO 56392,SIU101710,44995,Layar,PT. Indo Efti,Kond Isami,Dabo Singkep,Mega,Kuntjoro-Jakti,"Congo, DRC",,,,F,1,Polri,Kpl Militer,
IUU Fishing,,25/09/2017,04:10,122.9748413,2.53750746,Laut Sulawesi,USS Arkab (AK-130),Sao Tome & Principe,Kpl Militer,127,IMO 25495,DWI32125,79699,Layar,PT. Sukma Bintang Surya,Red Hot Chili Peppers,Teluk Palu,Kalianget,Neko,Colombia,,,,C,6,Polri,Kargo/Barang,
IUU Fishing,,09/07/2014,16:40,125.3022301,-5.54655398,Laut Banda,SS Cufic ||,Netherlands Antilles,Bulker/Kpl Pengangkut Barang Curah,152,IMO 81777,EWD151110,25253,Sandar,PT. Kereta Api Logistik,Kevin Keegan,Eci,Gudang Arang,Jorge Quiroga,Antarctica,,,,E,2,Polri,Kpl Pemadam Kebakaran/Fireboat,
IUU Fishing,,25/08/2015,18:45,119.1236571,-7.00076801,Laut Flores,Osaka Express,Egypt,Kpl Pemadam Kebakaran/Fireboat,138,IMO 24547,SQI4223,46463,Layar,Berdikari,Danny Mills,Kotabaru,Gresik,Sanny Saofit,Cayman Is.,,,,B,5,TNI AD,Tongkang,
IUU Fishing,,31/03/2014,12:45,110.61502,-5.13208,Laut Jawa,Mærsk Stralsund,Switzerland,Kpl Selam,146,IMO 21778,BOD2655,69216,Sandar,PT. Atlas Transindo Raya,Sandra Rulofs,Teluk Palu,Dobo,Mark Williams,Norway,,,,F,4,KKP,Kpl Selam,
IUU Fishing,,17/07/2015,18:30,117.0416604,-6.83910589,Laut Flores,MV Vikartindur,Iraq,Kpl Pengeruk/Dredger,124,IMO 61846,WAK12412,52755,Layar,PT. ACC Express,Pinot,Korido,Pelaihari/Swarangan,Lifehouse,Christmas I.,,,,E,5,Bea Cukai,Penumpang,
IUU Fishing,,08/08/2019,08:20,122.2195767,4.06190802,Laut Sulawesi,"Maharshi Vamadeva, LPG Tanker",Wallis & Futuna,Kpl Kayu,161,IMO 42286,YXI5264,32422,Lego,PT. Tpal Ekspres Indonesia,Nicole Elizabeth,Teluk Betung,Sei Berombang,Yakata,Lebanon,,,,C,5,Bakamla,Kpl Selam,
IUU Fishing,,10/08/2018,21:10,133.8235795,1.62230091,Laut Halmahera,CMA CGM Thalassa,Montserrat,Kpl Penyelamat/Lifeboat,152,IMO 39357,OEI18214,89723,Sandar,Game Master,Agbonlahor,Para,Kuala Jelay,Allegri,Russia,,,,A,5,TNI AL,Kpl Pemadam Kebakaran/Fireboat,
IUU Fishing,,20/05/2014,13:40,126.3820533,-6.3210709,Laut Banda,SS Atlantic Causeway,Nigeria,Supply Ship,218,IMO 46687,HXL31619,47785,Sandar,Game Master,Novillo,Tanah Ampo,Tanjung Laut,Mirta Kartohadiprodjo,Maldives,,,,E,5,Polri,Kpl Selam,
IUU Fishing,,22/04/2017,05:45,119.5037147,-6.64018816,Laut Flores,Hudson Cavalier,El Salvador,Kpl Penyelamat/Lifeboat,249,IMO 47273,HMI242114,66328,Layar,PT. Abiyah Pratama,Lukimya-Mulongoti,Ndao,Sepo,Rafika Duri,Iraq,,,,A,5,KKP,Kpl Layar,
